plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid
HAT-P-12 b,1.3200,,,,0.13646,
HAT-P-12 b,1.3440,,,,0.13744,
HAT-P-12 b,1.3670,,,,0.13689,
HAT-P-12 b,1.3910,,,,0.13820,
HAT-P-12 b,1.4140,,,,0.13733,
HAT-P-12 b,1.4380,,,,0.13737,
HAT-P-12 b,1.4620,,,,0.13914,
HAT-P-12 b,1.4850,,,,0.13704,
HAT-P-12 b,1.5090,,,,0.13439,
HAT-P-12 b,1.5320,,,,0.13431,
HAT-P-12 b,1.5560,,,,0.13494,
HAT-P-12 b,1.5790,,,,0.13612,
HAT-P-12 b,1.6030,,,,0.13835,
HAT-P-12 b,1.6270,,,,0.13620,
HAT-P-16 b,0.3600,0.1140,,,0.10586,2456290.657790
HD 97658 b,1.1320,0.0190,0.092600,,,2456665.466780
HD 97658 b,1.1510,0.0180,0.091100,,,2456665.466780
HD 97658 b,1.1700,0.0210,0.093000,,,2456665.466780
HD 97658 b,1.1880,0.0180,0.092700,,,2456665.466780
HD 97658 b,1.2070,0.0190,0.092400,,,2456665.466780
HD 97658 b,1.2260,0.0190,0.091100,,,2456665.466780
HD 97658 b,1.2450,0.0190,0.090600,,,2456665.466780
HD 97658 b,1.2640,0.0190,0.094900,,,2456665.466780
HD 97658 b,1.2830,0.0190,0.096500,,,2456665.466780
HD 97658 b,1.3010,0.0180,0.096700,,,2456665.466780
HD 97658 b,1.3200,0.0190,0.096000,,,2456665.466780
HD 97658 b,1.3390,0.0190,0.094700,,,2456665.466780
HD 97658 b,1.3580,0.0190,0.094500,,,2456665.466780
HD 97658 b,1.3770,0.0190,0.093200,,,2456665.466780
HD 97658 b,1.3960,0.0190,0.092300,,,2456665.466780
HD 97658 b,1.4150,0.0190,0.092600,,,2456665.466780
HD 97658 b,1.4330,0.0180,0.098400,,,2456665.466780
HD 97658 b,1.4520,0.0190,0.094800,,,2456665.466780
HD 97658 b,1.4710,0.0190,0.096600,,,2456665.466780
HD 97658 b,1.4900,0.0190,0.094900,,,2456665.466780
HD 97658 b,1.5090,0.0190,0.096900,,,2456665.466780
HD 97658 b,1.5280,0.0190,0.097500,,,2456665.466780
HD 97658 b,1.5460,0.0180,0.095200,,,2456665.466780
HD 97658 b,1.5650,0.0190,0.094300,,,2456665.466780
HD 97658 b,1.5840,0.1140,0.097000,,,2456665.466780
HD 97658 b,1.6030,0.1140,0.098100,,,2456665.466780
HD 97658 b,1.6220,0.1140,0.097500,,,2456665.466780
HD 97658 b,1.1410,0.1140,0.096500,,,2456665.466780
WASP-6 b,0.6700,0.3800,,,0.14040,2455473.653650
WASP-6 b,0.4823,0.2090,,,0.14300,2455473.653650
WASP-6 b,0.5031,0.1880,,,0.13750,2455473.653650
WASP-6 b,0.5201,0.1730,,,0.14060,2455473.653650
WASP-6 b,0.5378,0.1800,,,0.14000,2455473.653650
WASP-6 b,0.5558,0.1790,,,0.13930,2455473.653650
WASP-6 b,0.5758,0.2230,,,0.13890,2455473.653650
WASP-6 b,0.5958,0.1760,,,0.13920,2455473.653650
WASP-6 b,0.6158,0.2230,,,0.13800,2455473.653650
WASP-6 b,0.6361,0.1850,,,0.13850,2455473.653650
WASP-6 b,0.6547,0.1850,,,0.13900,2455473.653650
WASP-6 b,0.6744,0.1910,,,0.13800,2455473.653650
WASP-6 b,0.6943,0.2250,,,0.13850,2455473.653650
WASP-6 b,0.7135,0.1600,,,0.13730,2455473.653650
WASP-6 b,0.7315,0.2000,,,0.13480,2455473.653650
WASP-6 b,0.7488,0.1470,,,0.13610,2455473.653650
WASP-6 b,0.7648,0.1720,,,0.13590,2455473.653650
WASP-6 b,0.7861,0.2540,,,0.13530,2455473.653650
WASP-6 b,0.8097,0.2170,,,0.13680,2455473.653650
WASP-6 b,0.8305,0.2000,,,0.13910,2455473.653650
WASP-6 b,0.8517,0.2250,,,0.13960,2455473.653650
WASP-17 b,0.3650,0.0660,,,0.13400,2454558.685350
WASP-17 b,0.5300,0.0750,,,0.12770,2454558.685350
WASP-17 b,0.6580,0.1380,,,0.13340,2454558.685350
WASP-43 b,0.5425,0.0250,,,0.16050,2456301.670000
WASP-43 b,0.5675,0.0250,,,0.16149,2456301.670000
WASP-43 b,0.5925,0.0250,,,0.16097,2456301.670000
WASP-43 b,0.6175,0.0250,,,0.15974,2456301.670000
WASP-43 b,0.6425,0.0250,,,0.16018,2456301.670000
WASP-43 b,0.6675,0.0250,,,0.16052,2456301.670000
WASP-43 b,0.6925,0.0250,,,0.16085,2456301.670000
WASP-43 b,0.7175,0.0250,,,0.16113,2456301.670000
WASP-43 b,0.7425,0.0250,,,0.16094,2456301.670000
WASP-43 b,0.7675,0.0250,,,0.16082,2456301.670000
WASP-43 b,0.7925,0.0250,,,0.16027,2456301.670000
WASP-43 b,0.8175,0.0250,,,0.15992,2456301.670000
WASP-43 b,0.8425,0.0250,,,0.15973,2456301.670000
WASP-43 b,0.8675,0.0250,,,0.15954,2456301.670000
WASP-39 b,0.8225,0.0244,,,0.14435,
WASP-43 b,0.8925,0.0250,,,0.16018,2456301.670000
WASP-39 b,0.8592,0.0490,,,0.14482,
WASP-43 b,0.9175,0.0250,,,0.16109,2456301.670000
WASP-39 b,0.9082,0.0490,,,0.14539,
WASP-43 b,0.5495,0.0100,,,0.15967,2456301.670000
WASP-39 b,0.9572,0.0490,,,0.14598,
WASP-39 b,1.0062,0.0490,,,0.14541,
WASP-43 b,0.5595,0.0100,,,0.16138,2456301.670000
WASP-43 b,0.5695,0.0100,,,0.16172,2456301.670000
WASP-39 b,1.0552,0.0490,,,0.14457,
WASP-39 b,1.0920,0.0244,,,0.14475,
WASP-43 b,0.5795,0.0100,,,0.16087,2456301.670000
WASP-43 b,0.5895,0.0100,,,0.16240,2456301.670000
WASP-39 b,1.1165,0.0244,,,0.14596,
WASP-43 b,0.5995,0.0100,,,0.15965,2456301.670000
WASP-39 b,1.1391,0.0186,,,0.14567,
WASP-39 b,1.1578,0.0186,,,0.14625,
WASP-43 b,0.6095,0.0100,,,0.15951,2456301.670000
WASP-39 b,1.1765,0.0186,,,0.14611,
WASP-43 b,0.6195,0.0100,,,0.15984,2456301.670000
WASP-43 b,0.6295,0.0100,,,0.15982,2456301.670000
WASP-39 b,1.1951,0.0186,,,0.14542,
WASP-43 b,0.6395,0.0100,,,0.15969,2456301.670000
WASP-39 b,1.2138,0.0186,,,0.14500,
WASP-43 b,0.6495,0.0100,,,0.16088,2456301.670000
WASP-39 b,1.2325,0.0186,,,0.14536,
WASP-43 b,0.7110,0.0180,,,0.16096,2456301.670000
WASP-39 b,1.2512,0.0186,,,0.14576,
WASP-39 b,1.2699,0.0186,,,0.14417,
WASP-43 b,0.7290,0.0180,,,0.16012,2456301.670000
WASP-43 b,0.7470,0.0180,,,0.16051,2456301.670000
WASP-39 b,1.2885,0.0186,,,0.14628,
WASP-39 b,1.3072,0.0186,,,0.14582,
WASP-43 b,0.7650,0.0180,,,0.16076,2456301.670000
WASP-39 b,1.3259,0.0186,,,0.14663,
WASP-43 b,0.7830,0.0180,,,0.15950,2456301.670000
WASP-39 b,1.3446,0.0186,,,0.14663,
WASP-43 b,0.8010,0.0180,,,0.16030,2456301.670000
WASP-43 b,0.8190,0.0180,,,0.15960,2456301.670000
WASP-39 b,1.3633,0.0186,,,0.14687,
WASP-39 b,1.3819,0.0186,,,0.14733,
WASP-43 b,0.8370,0.0180,,,0.16021,2456301.670000
WASP-39 b,1.4006,0.0186,,,0.14749,
WASP-43 b,0.8550,0.0180,,,0.15918,2456301.670000
WASP-39 b,1.4193,0.0186,,,0.14674,
WASP-43 b,0.5750,0.0600,,,0.15750,2455934.791927
WASP-39 b,1.4380,0.0186,,,0.14788,
WASP-43 b,0.6580,0.1380,,,0.15741,2455934.792132
WASP-43 b,0.8060,0.1490,,,0.15847,2455934.792233
WASP-39 b,1.4567,0.0186,,,0.14772,
WASP-39 b,1.4753,0.0186,,,0.14803,
WASP-43 b,0.9000,0.1300,,,0.15720,2455934.792386
WASP-39 b,1.4940,0.0186,,,0.14718,
WASP-43 b,1.2200,0.2130,,,0.15715,2455934.792530
WASP-39 b,1.5127,0.0186,,,0.14653,
WASP-43 b,1.6300,0.3070,,,0.15396,2455934.792508
WASP-39 b,1.5314,0.0186,,,0.14655,
WASP-43 b,2.1900,0.3900,,,0.15465,2455934.792226
WASP-39 b,1.5501,0.0186,,,0.14656,
WASP-19 b,0.8660,0.1300,0.080000,,,2456291.059028
HD 189733 b,3.6000,0.4000,,,0.15566,2454430.310594
WASP-39 b,1.5687,0.0186,,,0.14607,
WASP-39 b,1.5874,0.0186,,,0.14519,
WASP-39 b,1.6061,0.0186,,,0.14588,
WASP-39 b,1.6248,0.0186,,,0.14596,
WASP-39 b,1.6435,0.0186,,,0.14441,
GJ 3470 b,0.9222,,,,0.07660,2455983.741700
GJ 3470 b,0.9222,,,,0.07660,2455993.714100
GJ 3470 b,0.9222,,,,0.07660,2455993.714100
GJ 3470 b,0.7886,,,,0.07800,2456247.299540
GJ 3470 b,1.2150,,,,0.07570,2456247.299540
GJ 3470 b,0.6469,,,,0.07520,2456247.299540
GJ 3470 b,0.4858,,,,0.07860,2456247.299540
GJ 3470 b,0.9222,,,,0.07660,2456253.972900
GJ 3470 b,0.6274,,,,0.08030,2456300.685510
GJ 3470 b,0.8700,,,,0.07660,2456300.685510
GJ 3470 b,0.7886,,,,0.07800,2456310.696160
GJ 3470 b,0.9222,,,,0.07660,2456310.696160
GJ 3470 b,0.3575,,,,0.07920,2456340.725890
GJ 3470 b,0.9635,0.0220,,,0.07430,2456340.725890
GJ 3470 b,0.7886,,,,0.07360,2456340.725890
GJ 3470 b,0.9222,,,,0.07660,2456350.735240
GJ 3470 b,0.4326,,,,0.08400,2456360.744900
GJ 3470 b,0.6274,,,,0.08030,2456360.744900
GJ 3470 b,0.7886,,,,0.07800,2456367.419490
GJ 3470 b,0.7695,,,,0.07650,2456370.756410
GJ 3470 b,0.6274,,,,0.08030,2456380.764800
GJ 3470 b,1.1530,,,,0.08114,
GJ 3470 b,1.1570,,,,0.07884,
GJ 3470 b,1.1620,,,,0.07896,
GJ 3470 b,1.1670,,,,0.07703,
GJ 3470 b,1.1710,,,,0.07557,
GJ 3470 b,1.1760,,,,0.07921,
GJ 3470 b,1.1810,,,,0.07841,
GJ 3470 b,1.1850,,,,0.07615,
GJ 3470 b,1.1900,,,,0.07984,
GJ 3470 b,1.1950,,,,0.08195,
GJ 3470 b,1.1990,,,,0.08110,
GJ 3470 b,1.2040,,,,0.07439,
GJ 3470 b,1.2090,,,,0.07596,
GJ 3470 b,1.2130,,,,0.07735,
GJ 3470 b,1.2180,,,,0.08105,
GJ 3470 b,1.2230,,,,0.07596,
GJ 3470 b,1.2270,,,,0.07905,
GJ 3470 b,1.2320,,,,0.08027,
GJ 3470 b,1.2360,,,,0.07686,
GJ 3470 b,1.2410,,,,0.07424,
GJ 3470 b,1.2460,,,,0.07828,
GJ 3470 b,1.2500,,,,0.07950,
GJ 3470 b,1.2550,,,,0.08140,
GJ 3470 b,1.2600,,,,0.07542,
GJ 3470 b,1.2640,,,,0.07561,
GJ 3470 b,1.2690,,,,0.07215,
GJ 3470 b,1.2740,,,,0.07912,
GJ 3470 b,1.2780,,,,0.08033,
GJ 3470 b,1.2830,,,,0.08141,
GJ 3470 b,1.2880,,,,0.07550,
GJ 3470 b,1.2920,,,,0.07464,
GJ 3470 b,1.2970,,,,0.08013,
GJ 3470 b,1.3010,,,,0.08059,
GJ 3470 b,1.3060,,,,0.08206,
GJ 3470 b,1.3110,,,,0.07435,
GJ 3470 b,1.3150,,,,0.07955,
GJ 3470 b,1.3200,,,,0.07844,
GJ 3470 b,1.3250,,,,0.08461,
GJ 3470 b,1.3290,,,,0.08012,
GJ 3470 b,1.3340,,,,0.07955,
GJ 3470 b,1.3390,,,,0.07273,
GJ 3470 b,1.3430,,,,0.08083,
GJ 3470 b,1.3480,,,,0.08193,
GJ 3470 b,1.3530,,,,0.08189,
GJ 3470 b,1.3570,,,,0.08571,
GJ 3470 b,1.3620,,,,0.08306,
GJ 3470 b,1.3660,,,,0.07876,
GJ 3470 b,1.3710,,,,0.07241,
GJ 3470 b,1.3760,,,,0.08271,
GJ 3470 b,1.3800,,,,0.07755,
GJ 3470 b,1.3850,,,,0.07185,
GJ 3470 b,1.3900,,,,0.07631,
GJ 3470 b,1.3940,,,,0.07902,
GJ 3470 b,1.3990,,,,0.07898,
GJ 3470 b,1.4040,,,,0.07616,
GJ 3470 b,1.4080,,,,0.08306,
GJ 3470 b,1.4130,,,,0.07857,
GJ 3470 b,1.4180,,,,0.06891,
GJ 3470 b,1.4220,,,,0.08018,
GJ 3470 b,1.4270,,,,0.07342,
GJ 3470 b,1.4320,,,,0.08046,
GJ 3470 b,1.4360,,,,0.07819,
GJ 3470 b,1.4410,,,,0.08028,
GJ 3470 b,1.4450,,,,0.08427,
GJ 3470 b,1.4500,,,,0.07419,
GJ 3470 b,1.4550,,,,0.07692,
GJ 3470 b,1.4590,,,,0.08261,
GJ 3470 b,1.4640,,,,0.08052,
GJ 3470 b,1.4690,,,,0.07318,
GJ 3470 b,1.4730,,,,0.07988,
GJ 3470 b,1.4780,,,,0.08339,
GJ 3470 b,1.4830,,,,0.07779,
GJ 3470 b,1.4870,,,,0.07916,
GJ 3470 b,1.4920,,,,0.07709,
GJ 3470 b,1.4970,,,,0.08431,
