,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
5317,K00867.01,CFRM,16.08518937,3.984,1442.4,3.68,613.0,5239.0,4.523,0.826,292.10519,42.380322,Neptune-like,Kepler-709 b
5318,K00869.01,CFRM,7.49018305,2.7297,1123.6,2.56,753.0,5103.0,4.562,0.787,291.63898,42.436321,Neptune-like,Kepler-245 b
5319,K00869.02,CFRM,36.2761238,4.7865,1572.6,3.03,445.0,5103.0,4.562,0.787,291.63898,42.436321,Neptune-like,Kepler-245 d
5320,K00854.01,CFRM,56.0560754,4.685,1626.0,1.94,233.0,3593.0,4.757,0.491,289.50848,41.812119,Neptune-like,Kepler-705 b
5321,K00857.01,CFRM,5.715425977,2.5242,908.1,2.47,850.0,5237.0,4.572,0.826,285.11047,42.033958,Neptune-like,Kepler-243 b
5322,K00863.01,CFRM,3.167893418,2.1814,781.2,2.62,1221.0,5895.0,4.503,0.94,293.81647,42.212502,Neptune-like,Kepler-708 b
5323,K00864.01,CFRM,4.311780262,2.7251,1154.0,3.11,1038.0,5527.0,4.484,0.927,287.24268,42.301369,Neptune-like,Kepler-244 b
5324,K00880.01,CFRM,26.44439337,3.9783,1843.5,3.91,562.0,5427.0,4.463,0.929,292.87338,42.966141,Neptune-like,Kepler-82 b
5325,K00880.03,CFRM,5.902245782,2.9003,702.3,2.43,926.0,5427.0,4.463,0.929,292.87338,42.966141,Neptune-like,Kepler-82 e
5326,K00881.01,CFRM,21.02250608,4.1072,1772.5,3.07,521.0,5067.0,4.585,0.75,294.90973,42.935261,Neptune-like,Kepler-712 b
5327,K00874.01,CFRM,4.601811819,2.2607,755.9,2.35,896.0,4986.0,4.496,0.833,296.48343,42.663429,Neptune-like,Kepler-246 b
5328,K00875.01,CFRM,4.220965778,3.0854,2260.0,2.62,595.0,3837.0,4.747,0.517,296.69394,42.62611,Neptune-like,Kepler-1729 b
5329,K00878.01,CFRM,23.58917143,5.073,1200.7,3.16,487.0,4919.0,4.566,0.721,297.46002,42.83992,Neptune-like,Kepler-711 b
5330,K00892.01,CFRM,10.37168928,3.035,1254.9,3.2,720.0,5121.0,4.457,0.888,290.39322,43.363899,Neptune-like,Kepler-716 b
5331,K00893.01,CFRM,4.40841331,5.012,549.4,2.66,1139.0,6007.0,4.457,0.961,292.96555,43.34639,Neptune-like,Kepler-717 b
5332,K00881.02,CFRM,226.8904775,7.558,3136.4,4.53,236.0,5067.0,4.585,0.75,294.90973,42.935261,Neptune-like,Kepler-712 c
5333,K00884.01,CFRM,9.439459486,2.8979,3036.1,4.16,686.0,5097.0,4.597,0.779,288.64252,43.039291,Neptune-like,Kepler-247 c
5334,K00122.01,CFRM,11.52306746,3.8757,507.3,3.13,927.0,5644.0,4.162,1.411,284.48245,44.398041,Neptune-like,Kepler-95 b
5335,K00884.02,CFRM,20.47748843,2.8364,1382.4,2.92,530.0,5097.0,4.597,0.779,288.64252,43.039291,Neptune-like,Kepler-247 d
5336,K00887.01,CFRM,7.41113177,2.5242,620.5,2.45,905.0,5849.0,4.517,0.919,295.65149,43.029831,Neptune-like,Kepler-713 b
5337,K00891.01,CFRM,10.00653012,5.344,936.1,3.52,876.0,6063.0,4.47,1.001,283.63077,43.379398,Neptune-like,Kepler-715 b
5338,K00896.01,CFRM,16.23947096,4.0374,2590.7,4.14,598.0,5191.0,4.564,0.837,293.0614,43.58136,Neptune-like,Kepler-248 c
5339,K00896.02,CFRM,6.308201629,2.9785,1328.5,2.96,819.0,5191.0,4.564,0.837,293.0614,43.58136,Neptune-like,Kepler-248 b
5340,K00900.01,CFRM,13.81020318,3.048,1309.7,4.56,833.0,5942.0,4.327,1.142,281.96063,43.70311,Neptune-like,Kepler-1730 b
5341,K00911.01,CFRM,4.093578461,2.5833,538.6,2.85,1182.0,6077.0,4.471,0.999,290.26328,44.55645,Neptune-like,Kepler-722 b
5342,K00911.02,CFRM,105.145959,8.593,685.4,3.43,401.0,6077.0,4.471,0.999,290.26328,44.55645,Neptune-like,Kepler-722 c
5343,K00912.01,CFRM,10.8484518,2.9993,1675.6,2.34,499.0,4201.0,4.682,0.591,295.57935,44.545959,Neptune-like,Kepler-252 c
5344,K00906.01,CFRM,7.15681552,2.5882,867.0,2.47,782.0,5029.0,4.494,0.838,289.59476,44.141949,Neptune-like,Kepler-250 c
5345,K00906.02,CFRM,17.64830851,2.0873,763.3,2.43,579.0,5029.0,4.494,0.838,289.59476,44.141949,Neptune-like,Kepler-250 d
5346,K00907.01,CFRM,16.51410989,4.1575,973.5,2.72,655.0,5527.0,4.488,0.866,296.56622,44.105862,Neptune-like,Kepler-251 c
5347,K00907.02,CFRM,30.1329298,5.172,1015.8,3.14,536.0,5527.0,4.488,0.866,296.56622,44.105862,Neptune-like,Kepler-251 d
5348,K00124.02,CFRM,31.71981013,4.819,363.4,3.09,743.0,5869.0,4.024,1.626,292.92914,48.60281,Neptune-like,Kepler-110 c
5349,K00907.04,CFRM,99.6415962,4.448,952.5,2.64,360.0,5527.0,4.488,0.866,296.56622,44.105862,Neptune-like,Kepler-251 e
5350,K00910.01,CFRM,5.392026903,2.9804,1151.4,2.68,850.0,5198.0,4.589,0.801,284.43051,44.48053,Neptune-like,Kepler-721 b
5351,K00916.01,CFRM,3.314947362,1.8007,1398.2,3.94,1155.0,5609.0,4.481,0.944,293.45483,44.792789,Neptune-like,Kepler-724 b
5352,K00920.01,CFRM,21.80451611,3.4097,1144.9,2.6,543.0,5481.0,4.629,0.708,291.71732,44.88731,Neptune-like,Kepler-726 b
5353,K00921.01,CFRM,10.28194593,3.4366,1110.7,2.53,680.0,5196.0,4.593,0.775,291.84198,44.858089,Neptune-like,Kepler-253 c
5354,K00921.02,CFRM,18.11993039,4.2309,1506.9,2.95,563.0,5196.0,4.593,0.775,291.84198,44.858089,Neptune-like,Kepler-253 d
5355,K00922.01,CFRM,5.15448142,3.228,697.5,2.94,964.0,5431.0,4.457,0.884,294.84689,45.034409,Neptune-like,Kepler-727 b
5356,K00923.01,CFRM,5.743469797,3.4412,1240.2,3.13,982.0,5897.0,4.531,0.891,291.09235,45.115528,Neptune-like,Kepler-728 b
5357,K00926.01,CFRM,3.166353562,3.3129,1473.4,3.82,1273.0,6007.0,4.47,0.998,286.36011,45.414291,Neptune-like,Kepler-729 b
5358,K00939.01,CFRM,3.388012244,2.6849,280.1,2.11,1315.0,5553.0,4.221,1.25,292.58044,46.097389,Neptune-like,Kepler-256 c
5359,K00939.02,CFRM,5.83909761,3.1915,273.6,2.06,1097.0,5553.0,4.221,1.25,292.58044,46.097389,Neptune-like,Kepler-256 d
5360,K00939.04,CFRM,10.6816951,3.605,307.8,2.3,897.0,5553.0,4.221,1.25,292.58044,46.097389,Neptune-like,Kepler-256 e
5361,K00940.01,CFRM,6.104849417,4.6912,2090.3,3.18,784.0,5085.0,4.584,0.712,297.04562,46.027359,Neptune-like,Kepler-734 b
5362,K00934.01,CFRM,5.826657508,2.9183,1539.1,4.09,1013.0,5561.0,4.362,1.06,288.1647,45.816509,Neptune-like,Kepler-254 b
5363,K00934.02,CFRM,12.41216347,3.739,611.3,2.58,787.0,5561.0,4.362,1.06,288.1647,45.816509,Neptune-like,Kepler-254 c
5364,K00934.03,CFRM,18.74649011,3.895,796.8,3.05,686.0,5561.0,4.362,1.06,288.1647,45.816509,Neptune-like,Kepler-254 d
5365,K00937.01,CFRM,20.83426731,4.0454,988.4,2.74,595.0,5537.0,4.549,0.88,293.01828,45.914688,Neptune-like,Kepler-733 b
5366,K00938.01,CFRM,9.94602357,3.3862,994.5,3.12,807.0,5344.0,4.365,1.013,296.06424,45.976841,Neptune-like,Kepler-255 c
5368,K00150.02,CFRM,28.5742692,4.9427,824.9,2.32,538.0,5551.0,4.508,0.812,296.98102,43.209751,Neptune-like,Kepler-112 c
5369,K01170.01,CFRM,7.34373964,1.1784,574.4,1.84,839.0,5757.0,4.597,0.762,296.23215,47.678959,Neptune-like,Kepler-1739 b
5370,K01106.01,CFRM,7.42608123,3.6379,443.3,2.47,1037.0,6049.0,4.353,1.176,292.7131,38.358212,Neptune-like,Kepler-769 b
5372,K01051.01,CFRM,6.79685353,3.1702,393.1,2.01,985.0,6061.0,4.486,0.97,294.16321,41.451801,Neptune-like,Kepler-1734 b
5373,K01052.01,CFRM,17.02902786,4.645,568.9,2.54,755.0,5839.0,4.327,1.067,290.51047,41.24482,Neptune-like,Kepler-265 c
5374,K01052.03,CFRM,67.8321638,7.358,507.8,2.39,476.0,5839.0,4.327,1.067,290.51047,41.24482,Neptune-like,Kepler-265 e
5375,K01052.04,CFRM,43.1312147,3.198,447.8,2.39,554.0,5839.0,4.327,1.067,290.51047,41.24482,Neptune-like,Kepler-265 d
5376,K01112.01,CFRM,37.8102649,8.733,570.3,2.33,566.0,6085.0,4.451,0.973,289.7767,38.26228,Neptune-like,Kepler-1736 b
5377,K01113.01,CFRM,25.93406406,4.6142,414.5,2.48,695.0,5952.0,4.287,1.225,291.97617,38.05508,Neptune-like,Kepler-268 b
5378,K01113.02,CFRM,83.4463485,6.536,503.0,2.73,471.0,5952.0,4.287,1.225,291.97617,38.05508,Neptune-like,Kepler-268 c
5379,K00152.01,CFRM,52.09081627,8.6388,2894.1,7.14,592.0,6198.0,4.237,1.324,300.51712,44.38158,Neptune-like,Kepler-79 d
5381,K00988.01,CFRM,10.38122447,2.715,801.5,2.18,672.0,5095.0,4.566,0.78,291.36478,37.609169,Neptune-like,Kepler-261 b
5382,K01060.01,CFRM,12.10968709,6.3461,284.7,2.98,1005.0,6021.0,4.093,1.458,293.08463,41.135441,Neptune-like,Kepler-758 b
5383,K01060.03,CFRM,20.4972755,8.536,242.9,2.96,843.0,6021.0,4.093,1.458,293.08463,41.135441,Neptune-like,Kepler-758 d
5384,K01199.01,CFRM,53.5292702,5.668,1086.1,2.28,348.0,4736.0,4.624,0.708,293.74393,38.939281,Neptune-like,Kepler-786 b
5385,K00152.03,CFRM,13.48457668,5.0197,653.5,3.39,929.0,6198.0,4.237,1.324,300.51712,44.38158,Neptune-like,Kepler-79 b
5386,K00992.01,CFRM,9.93146307,5.678,398.6,2.41,931.0,5782.0,4.28,1.22,291.49942,37.05928,Neptune-like,Kepler-745 b
5387,K01061.01,CFRM,41.8059544,6.057,434.4,2.02,533.0,5907.0,4.445,0.973,290.1315,41.3815,Neptune-like,Kepler-759 b
5388,K01127.01,CFRM,5.32667299,3.4045,611.4,2.26,1007.0,5831.0,4.517,0.921,290.21518,41.77597,Neptune-like,Kepler-269 b
5389,K01069.01,CFRM,8.70420525,2.9385,1074.9,2.86,748.0,5074.0,4.474,0.863,287.5932,44.17942,Neptune-like,Kepler-760 b
5390,K01198.01,CFRM,16.08832318,5.731,597.8,3.42,875.0,6157.0,4.224,1.33,292.47971,38.514919,Neptune-like,Kepler-275 c
5391,K01198.02,CFRM,10.30067919,4.885,271.8,2.2,1015.0,6157.0,4.224,1.33,292.47971,38.514919,Neptune-like,Kepler-275 b
5392,K01198.03,CFRM,35.6757453,7.381,471.2,3.02,671.0,6157.0,4.224,1.33,292.47971,38.514919,Neptune-like,Kepler-275 d
5393,K00999.01,CFRM,16.56806842,4.2647,1331.4,2.54,548.0,4987.0,4.602,0.716,292.46976,37.567791,Neptune-like,Kepler-263 b
5394,K00999.02,CFRM,47.3329299,2.708,931.5,2.18,386.0,4987.0,4.602,0.716,292.46976,37.567791,Neptune-like,Kepler-263 c
5395,K01001.01,CFRM,40.8065333,13.135,313.9,3.71,772.0,6207.0,3.963,2.097,292.04462,37.37624,Neptune-like,Kepler-264 b
5396,K01070.01,CFRM,6.61836309,3.6813,549.1,2.98,1066.0,5529.0,4.19,1.294,294.48438,44.166908,Neptune-like,Kepler-266 b
5397,K01070.02,CFRM,107.7214092,8.042,1396.2,4.75,421.0,5529.0,4.19,1.294,294.48438,44.166908,Neptune-like,Kepler-266 c
5398,K01203.02,CFRM,14.12847677,3.685,628.7,2.73,739.0,5779.0,4.477,0.974,293.56815,39.03632,Neptune-like,Kepler-276 b
5399,K01204.01,CFRM,8.39842977,6.344,340.1,2.0,984.0,6309.0,4.441,1.044,290.0004,38.53989,Neptune-like,Kepler-788 b
5401,K01001.02,CFRM,140.10765,18.503,266.8,3.42,511.0,6207.0,3.963,2.097,292.04462,37.37624,Neptune-like,Kepler-264 c
5402,K01005.01,CFRM,35.61760233,8.4559,4634.9,5.17,456.0,5123.0,4.523,0.779,288.4165,41.0298,Neptune-like,Kepler-747 b
5403,K00941.01,CFRM,6.581477136,3.0896,2318.9,4.56,881.0,5188.0,4.4,0.973,297.31598,46.023258,Neptune-like,Kepler-257 c
5404,K00941.02,CFRM,2.382652873,1.8888,705.4,2.74,1237.0,5188.0,4.4,0.973,297.31598,46.023258,Neptune-like,Kepler-257 b
5405,K00941.03,CFRM,24.66461416,2.8579,2398.8,5.34,567.0,5188.0,4.4,0.973,297.31598,46.023258,Neptune-like,Kepler-257 d
5406,K00942.01,CFRM,11.51517167,2.006,1357.4,2.9,657.0,5177.0,4.59,0.798,284.68887,46.172249,Neptune-like,Kepler-735 b
5407,K01007.01,CFRM,7.40742502,3.675,442.0,2.01,938.0,5922.0,4.474,0.961,292.26291,37.236992,Neptune-like,Kepler-748 b
5408,K01078.02,CFRM,6.877446033,1.3692,1632.3,2.05,484.0,3789.0,4.781,0.46,299.83041,47.157459,Neptune-like,Kepler-267 c
5409,K01078.03,CFRM,28.46464804,2.6657,1629.8,1.87,301.0,3789.0,4.781,0.46,299.83041,47.157459,Neptune-like,Kepler-267 d
5410,K00943.01,CFRM,3.601465336,2.2753,777.7,2.31,996.0,5052.0,4.48,0.855,285.39133,46.180939,Neptune-like,Kepler-736 b
5411,K00945.01,CFRM,25.8474958,5.985,537.4,2.4,672.0,6297.0,4.448,1.031,297.9516,46.264721,Neptune-like,Kepler-1666 b
5412,K00945.02,CFRM,40.715561,6.894,680.9,2.7,578.0,6297.0,4.448,1.031,297.9516,46.264721,Neptune-like,Kepler-1666 c
5413,K01014.01,CFRM,17.31711739,3.1518,1473.0,2.04,454.0,4719.0,4.753,0.502,299.89722,43.903912,Neptune-like,Kepler-749 b
5414,K01015.01,CFRM,9.42889884,4.4481,565.4,4.39,1163.0,5897.0,3.98,1.86,289.09689,44.004379,Neptune-like,Kepler-750 b
5415,K00949.01,CFRM,12.53248222,4.0168,1145.9,3.24,775.0,5997.0,4.522,0.904,290.06799,46.57914,Neptune-like,Kepler-739 b
5416,K00951.01,CFRM,13.19720694,3.4872,2141.4,4.18,642.0,4954.0,4.462,0.885,294.06848,46.57933,Neptune-like,Kepler-258 b
5417,K00137.02,CFRM,14.85890852,3.5252,3269.0,5.94,720.0,5356.0,4.338,1.055,298.07944,44.746319,Neptune-like,Kepler-18 d
5418,K01017.01,CFRM,17.44486016,4.445,826.9,3.24,679.0,5568.0,4.413,0.966,294.84384,44.077679,Neptune-like,Kepler-751 b
5419,K01086.01,CFRM,27.6652847,6.633,469.2,2.21,641.0,6036.0,4.396,1.017,283.1846,47.15567,Neptune-like,Kepler-765 b
5420,K00149.01,CFRM,14.55730897,7.7643,956.9,4.32,879.0,5774.0,4.159,1.412,286.6301,38.945599,Neptune-like,Kepler-473 b
5421,K00951.02,CFRM,33.6528474,3.9616,1140.8,3.05,470.0,4954.0,4.462,0.885,294.06848,46.57933,Neptune-like,Kepler-258 c
5422,K00952.03,CFRM,22.78078241,3.3002,1925.1,2.17,328.0,3731.0,4.75,0.498,297.84241,46.574268,Neptune-like,Kepler-32 d
5423,K01022.01,CFRM,18.82744023,4.664,1006.2,2.7,632.0,5687.0,4.538,0.86,292.26813,37.955639,Neptune-like,Kepler-752 b
5424,K01089.02,CFRM,12.21828097,2.6969,1843.4,5.1,835.0,5822.0,4.351,1.081,294.4335,38.35545,Neptune-like,Kepler-418 c
5425,K01160.01,CFRM,13.21409607,3.5641,1154.8,2.77,629.0,5333.0,4.62,0.728,287.65363,47.41481,Neptune-like,Kepler-781 b
5426,K00954.01,CFRM,8.11528727,3.211,834.9,3.1,879.0,5926.0,4.532,0.887,288.21194,46.615002,Neptune-like,Kepler-259 b
5427,K00954.02,CFRM,36.9250409,4.9381,902.0,3.01,530.0,5926.0,4.532,0.887,288.21194,46.615002,Neptune-like,Kepler-259 c
5428,K01029.01,CFRM,32.3122867,6.569,677.8,4.84,699.0,5821.0,4.108,1.494,292.29099,37.580799,Neptune-like,Kepler-1732 b
5429,K01030.01,CFRM,9.22961384,2.235,492.1,2.79,1021.0,6320.0,4.347,1.252,291.13849,37.859299,Neptune-like,Kepler-1733 b
5430,K00144.01,CFRM,4.176254191,3.6716,1360.1,3.07,876.0,4957.0,4.594,0.776,296.52429,39.24976,Neptune-like,Kepler-472 b
5431,K01094.01,CFRM,6.10027621,4.7476,766.6,2.59,990.0,5957.0,4.506,0.937,293.18454,37.969841,Neptune-like,Kepler-766 b
5432,K00150.01,CFRM,8.408878137,3.4967,798.9,2.28,809.0,5551.0,4.508,0.812,296.98102,43.209751,Neptune-like,Kepler-112 b
5433,K01161.02,CFRM,10.93725572,3.0822,421.6,2.41,777.0,5334.0,4.372,1.004,299.12753,47.59383,Neptune-like,Kepler-272 d
5434,K01162.01,CFRM,158.6850022,11.5372,898.3,3.08,350.0,5751.0,4.34,1.034,288.86823,47.75943,Neptune-like,Kepler-782 b
5435,K00955.01,CFRM,7.03902016,3.8633,529.8,2.45,1051.0,6321.0,4.434,1.058,289.4317,46.617531,Neptune-like,Kepler-741 b
5436,K00956.01,CFRM,8.360870704,2.7144,2039.7,3.67,690.0,4743.0,4.516,0.81,283.86603,46.789589,Neptune-like,Kepler-742 b
5437,K00958.01,CFRM,21.76129812,1.243,1300.7,2.53,486.0,4859.0,4.612,0.72,291.25449,36.74361,Neptune-like,Kepler-1731 b
5438,K01099.01,CFRM,161.5278347,3.6734,4653.6,8.19,366.0,5778.0,4.285,1.213,291.57916,38.035831,Neptune-like,Kepler-767 b
5439,K01165.01,CFRM,7.053934488,1.7244,511.5,2.36,840.0,5357.0,4.498,0.863,291.06293,47.484798,Neptune-like,Kepler-783 c
5440,K01166.01,CFRM,7.6746614,1.9374,503.0,2.8,957.0,6063.0,4.47,1.001,296.13141,47.43882,Neptune-like,Kepler-1738 b
5441,K01360.01,CFRM,36.7704935,4.42,1346.6,2.83,437.0,5142.0,4.602,0.755,286.41,42.681549,Neptune-like,Kepler-290 c
5442,K01360.02,CFRM,14.58932429,2.4184,831.3,2.32,594.0,5142.0,4.602,0.755,286.41,42.681549,Neptune-like,Kepler-290 b
5443,K01361.01,CFRM,59.8780258,4.8027,1419.1,2.19,273.0,4016.0,4.658,0.599,295.3045,42.475288,Neptune-like,Kepler-61 b
5444,K01429.01,CFRM,205.912735,9.992,2378.8,4.68,298.0,5644.0,4.457,0.969,292.3515,48.511082,Neptune-like,Kepler-1750 b
5446,K01363.01,CFRM,3.546531809,2.2746,442.7,2.18,1212.0,5993.0,4.489,0.986,287.91635,42.437302,Neptune-like,Kepler-291 b
5447,K01364.01,CFRM,20.8341497,4.522,803.1,2.26,563.0,5296.0,4.538,0.808,295.76614,42.424278,Neptune-like,Kepler-292 f
5448,K01364.02,CFRM,7.0556584,3.0479,705.6,2.13,808.0,5296.0,4.538,0.808,295.76614,42.424278,Neptune-like,Kepler-292 d
5449,K01430.03,CFRM,77.4740991,4.168,1543.6,2.63,277.0,4463.0,4.677,0.611,283.03979,48.825359,Neptune-like,Kepler-298 d
5450,K01432.01,CFRM,6.88595222,4.148,428.5,2.68,946.0,5616.0,4.394,0.999,283.20697,48.580502,Neptune-like,Kepler-299 c
5451,K00155.01,CFRM,5.660669429,4.6483,737.8,3.24,1115.0,5746.0,4.266,1.173,292.3215,43.881168,Neptune-like,Kepler-474 b
5452,K01245.01,CFRM,13.71938426,5.5677,316.4,1.98,864.0,6387.0,4.41,1.105,292.47821,42.142288,Neptune-like,Kepler-798 b
5453,K01307.01,CFRM,44.8520997,3.5729,780.8,3.35,513.0,5514.0,4.345,1.071,290.92746,48.44355,Neptune-like,Kepler-287 c
5454,K01307.02,CFRM,20.34237838,2.3351,564.6,2.88,667.0,5514.0,4.345,1.071,290.92746,48.44355,Neptune-like,Kepler-287 b
5455,K00157.05,CFRM,118.3786735,9.5574,1083.3,3.4,376.0,5657.0,4.364,1.046,297.11511,41.909142,Neptune-like,Kepler-11 g
5456,K01308.01,CFRM,23.58444746,5.5545,429.2,3.0,730.0,5655.0,4.152,1.354,285.42429,47.83461,Neptune-like,Kepler-811 b
5457,K01364.03,CFRM,11.97884409,3.751,707.9,2.11,678.0,5296.0,4.538,0.808,295.76614,42.424278,Neptune-like,Kepler-292 e
5458,K01366.01,CFRM,19.25404023,4.6509,987.7,3.04,657.0,5798.0,4.507,0.941,286.35806,42.406509,Neptune-like,Kepler-293 b
5459,K01433.01,CFRM,19.80787763,3.453,616.3,2.08,624.0,5775.0,4.558,0.84,287.05701,49.046021,Neptune-like,Kepler-846 b
5460,K01310.01,CFRM,19.12947603,3.9622,451.2,4.23,817.0,5372.0,4.007,1.71,285.66269,48.435371,Neptune-like,Kepler-813 b
5462,K01312.01,CFRM,6.1469956,3.3153,249.6,2.04,1164.0,6110.0,4.285,1.296,284.91049,48.431641,Neptune-like,Kepler-814 b
5463,K01366.02,CFRM,54.1558384,4.432,1109.8,3.88,466.0,5798.0,4.507,0.941,286.35806,42.406509,Neptune-like,Kepler-293 c
5464,K01435.01,CFRM,40.7150498,8.587,563.9,2.2,516.0,5968.0,4.534,0.881,295.2887,48.59972,Neptune-like,Kepler-300 c
5466,K01370.01,CFRM,6.8833761,2.2702,458.4,1.69,857.0,5679.0,4.581,0.794,282.33279,42.463821,Neptune-like,Kepler-829 b
5467,K01258.01,CFRM,36.33750453,7.06,2828.4,5.3,513.0,5717.0,4.538,0.884,294.10818,44.770699,Neptune-like,Kepler-281 c
5468,K01258.02,CFRM,14.64613058,5.688,593.5,2.22,694.0,5717.0,4.538,0.884,294.10818,44.770699,Neptune-like,Kepler-281 b
5469,K01258.03,CFRM,148.272013,4.192,1707.4,4.3,321.0,5717.0,4.538,0.884,294.10818,44.770699,Neptune-like,Kepler-281 d
5470,K00171.01,CFRM,5.968724048,3.651,510.6,3.26,1251.0,6122.0,4.173,1.439,294.74207,43.536831,Neptune-like,Kepler-116 b
5471,K01325.01,CFRM,10.03538181,3.4062,2829.7,4.42,786.0,5813.0,4.561,0.833,296.23511,39.370338,Neptune-like,Kepler-818 b
5472,K01444.01,CFRM,44.9306706,6.539,438.4,2.49,565.0,6121.0,4.397,1.164,297.3916,48.560692,Neptune-like,Kepler-852 b
5473,K01264.01,CFRM,14.13175309,4.0136,1033.0,3.02,675.0,5616.0,4.564,0.822,286.57483,44.7952,Neptune-like,Kepler-800 b
5474,K01329.01,CFRM,33.1996355,5.022,1112.5,2.85,485.0,5102.0,4.463,0.88,295.37079,39.177212,Neptune-like,Kepler-819 b
5475,K01332.01,CFRM,19.30581662,4.2902,709.1,4.0,815.0,5661.0,4.09,1.522,288.91644,39.594711,Neptune-like,Kepler-288 c
5476,K00165.01,CFRM,13.22175358,2.7884,876.5,2.38,640.0,5211.0,4.556,0.799,292.48694,46.196209,Neptune-like,Kepler-478 b
5477,K00156.03,CFRM,11.77613232,2.8971,1430.8,2.08,446.0,3980.0,4.722,0.54,294.12143,48.349522,Neptune-like,Kepler-114 d
5478,K01273.01,CFRM,40.05881661,5.595,1239.4,3.43,489.0,5668.0,4.545,0.868,286.01587,45.007771,Neptune-like,Kepler-802 b
5479,K01332.03,CFRM,56.637918,6.172,589.7,3.68,570.0,5661.0,4.09,1.522,288.91644,39.594711,Neptune-like,Kepler-288 d
5480,K00159.01,CFRM,8.99088621,4.2447,469.7,2.78,960.0,5881.0,4.315,1.171,297.71185,45.261921,Neptune-like,Kepler-115 c
5481,K01274.01,CFRM,704.962626,18.003,2319.1,4.53,178.0,5305.0,4.489,0.818,283.25681,45.08778,Neptune-like,Kepler-421 b
5482,K01275.01,CFRM,50.28635977,6.3212,1119.3,3.88,543.0,5900.0,4.309,1.167,299.22162,44.693871,Neptune-like,Kepler-803 b
5483,K01335.01,CFRM,127.8334997,10.914,1829.9,9.46,554.0,6505.0,3.973,2.17,291.02014,39.22068,Neptune-like,Kepler-820 b
5484,K01336.03,CFRM,40.1015561,5.246,550.0,2.92,583.0,6100.0,4.376,1.083,296.35867,39.115189,Neptune-like,Kepler-58 d
5485,K01395.01,CFRM,6.230335,1.6493,1449.2,3.7,875.0,5477.0,4.557,0.865,284.20966,45.25808,Neptune-like,Kepler-1747 b
5486,K00166.01,CFRM,12.49340725,2.2614,715.7,2.2,649.0,5207.0,4.561,0.795,291.02185,37.769791,Neptune-like,Kepler-479 b
5487,K01396.01,CFRM,6.62643441,3.1752,814.6,2.54,895.0,5616.0,4.529,0.903,287.392,46.059311,Neptune-like,Kepler-294 c
5488,K01207.01,CFRM,13.73474071,2.769,746.4,2.71,634.0,5196.0,4.524,0.772,286.91711,38.872219,Neptune-like,Kepler-790 b
5489,K01210.01,CFRM,14.55387488,6.973,319.7,3.45,939.0,6143.0,4.177,1.507,293.59583,39.02948,Neptune-like,Kepler-791 b
5490,K00152.04,CFRM,81.0637895,3.001,476.0,3.01,511.0,6198.0,4.237,1.324,300.51712,44.38158,Neptune-like,Kepler-79 e
5491,K00157.01,CFRM,13.02493307,4.5706,778.4,2.88,786.0,5657.0,4.364,1.046,297.11511,41.909142,Neptune-like,Kepler-11 c
5492,K01281.01,CFRM,49.4781446,2.493,496.6,1.88,462.0,5776.0,4.554,0.849,286.96683,44.992489,Neptune-like,Kepler-1742 b
5493,K01282.01,CFRM,30.8639476,8.864,256.5,3.01,743.0,5977.0,4.08,1.571,293.22995,45.05331,Neptune-like,Kepler-805 b
5494,K00167.01,CFRM,4.919584997,4.1988,425.7,2.86,1312.0,6236.0,4.246,1.378,294.4639,49.765041,Neptune-like,Kepler-480 b
5495,K01405.01,CFRM,11.41911886,5.135,509.2,3.32,921.0,6311.0,4.398,1.172,283.57422,45.734798,Neptune-like,Kepler-835 b
5496,K01406.01,CFRM,11.36113254,4.1886,569.5,2.6,869.0,6244.0,4.46,1.009,287.45279,45.704399,Neptune-like,Kepler-836 b
5497,K01216.01,CFRM,11.13127159,4.2372,211.2,2.06,952.0,5800.0,4.202,1.435,288.1337,38.99688,Neptune-like,Kepler-794 b
5498,K00157.02,CFRM,22.687155,5.4921,960.0,3.2,653.0,5657.0,4.364,1.046,297.11511,41.909142,Neptune-like,Kepler-11 d
5499,K01410.01,CFRM,15.74958583,4.6672,659.5,2.77,777.0,6191.0,4.454,1.025,285.43552,45.976021,Neptune-like,Kepler-838 b
5500,K01412.01,CFRM,37.8145252,9.109,412.5,3.04,626.0,5988.0,4.278,1.314,291.07468,45.24258,Neptune-like,Kepler-839 b
5503,K00157.03,CFRM,31.99552485,4.2817,1376.1,4.12,582.0,5657.0,4.364,1.046,297.11511,41.909142,Neptune-like,Kepler-11 e
5504,K01355.01,CFRM,51.92920654,5.2637,3425.8,8.49,574.0,5671.0,4.128,1.442,294.96606,42.708569,Neptune-like,Kepler-827 b
5505,K00161.01,CFRM,3.105507835,1.7458,904.6,2.68,980.0,4989.0,4.585,0.791,287.05173,40.211552,Neptune-like,Kepler-475 b
5506,K01301.01,CFRM,12.69905011,2.9899,797.4,2.62,686.0,5291.0,4.489,0.882,293.14648,47.729649,Neptune-like,Kepler-284 b
5507,K01423.01,CFRM,124.4197175,3.7197,4107.0,10.3,416.0,5066.0,3.974,1.659,284.25131,48.809608,Neptune-like,Kepler-841 b
