,KFold1,KFold2,KFold3,KFold4,KFold5,KFold6,KFold7,KFold8,KFold9,KFold10,Avg Score
LogisticRegression,0.7148217636022514,0.7729831144465291,0.7954971857410882,0.7954971857410882,0.7823639774859287,0.8030018761726079,0.7373358348968105,0.7392120075046904,0.7429643527204502,0.6397748592870544,0.7523452157598498
LinearSVC,0.7185741088180112,0.7654784240150094,0.7898686679174484,0.7786116322701688,0.776735459662289,0.7936210131332082,0.7335834896810507,0.7523452157598499,0.7504690431519699,0.6416510318949343,0.750093808630394
KNeighborsClassifier,0.7917448405253283,0.8705440900562852,0.8836772983114447,0.8555347091932458,0.8180112570356473,0.851782363977486,0.8198874296435272,0.8180112570356473,0.8442776735459663,0.7373358348968105,0.8290806754221389
RandomForestClassifier,0.7729831144465291,0.8686679174484052,0.8968105065666041,0.8874296435272045,0.8330206378986866,0.8761726078799249,0.8292682926829268,0.8592870544090057,0.8442776735459663,0.701688555347092,0.8369606003752346
XGBClassifier,0.7917448405253283,0.8686679174484052,0.8949343339587242,0.874296435272045,0.8367729831144465,0.8799249530956847,0.8348968105065666,0.8630393996247655,0.8442776735459663,0.7166979362101313,0.8405253283302064
CatBoostClassifier,0.7879924953095685,0.874296435272045,0.8986866791744841,0.8799249530956847,0.8461538461538461,0.8836772983114447,0.8442776735459663,0.8630393996247655,0.8480300187617261,0.7054409005628518,0.8431519699812382
