,KFold1,KFold2,KFold3,KFold4,KFold5,KFold6,KFold7,KFold8,KFold9,KFold10,Avg Score
LogisticRegression,0.5900514579759862,0.6003430531732419,0.6432246998284734,0.5763293310463122,0.6243567753001715,0.5807560137457045,0.5824742268041238,0.5738831615120275,0.5,0.5687285223367697,0.5840147241722811
LinearSVC,0.5866209262435678,0.5248713550600344,0.3687821612349914,0.23842195540308747,0.6466552315608919,0.3178694158075601,0.4725085910652921,0.4536082474226804,0.3848797250859107,0.35738831615120276,0.4351605925035219
KNeighborsClassifier,0.7924528301886793,0.8044596912521441,0.8061749571183533,0.7838765008576329,0.7804459691252144,0.7714776632302406,0.7646048109965635,0.7869415807560137,0.7938144329896907,0.7714776632302406,0.7855726099744773
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,0.9982817869415808,1.0,1.0,0.9982817869415808,0.9996563573883162
XGBClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
