,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
2681,Kepler-947 b,Kepler-947,b,1,1,0,2016,26.9644317,0.1773,2.28,0.203,5.82,0.0183,M-R relationship,2.7,573.0,5508.0,0.87,0.9,-0.07,[Fe/H],0.142,4.52,4.27,4.45566,19h37m28.02s,294.3667312,+42d15m09.51s,42.2526408,10.08954,75.4807,62.2661,311.01236,2.0549501,-0.74948,-1.9134,1730.78,0.550184
2682,Kepler-948 b,Kepler-948,b,1,1,0,2016,7.76846622,0.0749,1.85,0.165,4.08,0.0128,M-R relationship,3.54,841.0,5679.0,0.94,0.96,-0.02,[Fe/H],-0.109,4.47,4.17,1.12282,19h33m12.07s,293.3002774,+41d31m23.97s,41.5233244,10.45904,74.45145,61.85342,308.88666,7.4540634,7.45156,0.193171,868.017,1.12353
2683,Kepler-949 b,Kepler-949,b,1,1,0,2016,8.6893073,0.0774,2.91,0.26,8.8,0.0277,M-R relationship,1.96,782.0,5403.0,0.86,0.89,0.01,[Fe/H],-0.442,4.53,4.57,4.35145,19h54m25.90s,298.6079128,+46d27m13.18s,46.45366,9.44424,80.69553,64.90362,321.05449,10.7774472,9.560041,-4.97584,486.105,2.02859
2684,Kepler-95 b,Kepler-95,b,1,1,0,2014,11.5231,0.1017,3.42,0.305,13.0,0.041,Mass,1.71,927.0,5699.0,1.41,1.08,0.3,[Fe/H],0.281,4.17,5.63,0.54,18h57m55.78s,284.4824281,+44d23m52.41s,44.397891,17.51848,74.43259,66.50351,296.62664,26.7129478,-4.00442,-26.4111,445.656,2.21542
2685,Kepler-950 b,Kepler-950,b,1,1,0,2016,98.7180406,0.3982,8.98,0.801,59.6,0.188,M-R relationship,0.452,360.0,5857.0,1.02,1.02,0.02,[Fe/H],0.355,4.44,3.8,3.3628,19h11m49.58s,287.9565768,+41d07m49.02s,41.1302834,13.90881,72.31699,62.68702,300.40284,6.6603552,-2.57722,-6.14152,2161.6,0.432279
2686,Kepler-951 b,Kepler-951,b,2,1,0,2016,71.52530845,0.3091,5.59,0.499,26.7,0.0839,M-R relationship,0.84,340.0,4834.0,0.73,0.77,-0.01,[Fe/H],-0.642,4.6,4.27,3.54555,19h10m57.02s,287.7375794,+38d06m52.74s,38.1146488,12.821,69.42083,59.81292,298.47026,15.9603651,2.87056,15.7001,382.509,2.58565
2687,Kepler-952 b,Kepler-952,b,1,1,0,2016,130.3546919,0.5183,7.65,0.682,45.4,0.143,M-R relationship,0.557,369.0,5730.0,0.99,1.0,0.06,[Fe/H],0.097,4.45,4.27,2.31284,19h01m29.25s,285.3718781,+41d59m37.93s,41.9938697,16.02646,72.35059,64.01394,296.72105,13.9569855,-12.4642,-6.28022,1304.25,0.738088
2688,Kepler-953 b,Kepler-953,b,1,2,0,2016,88.40655258,0.392,4.21,0.376,16.5,0.0519,M-R relationship,1.22,410.0,5416.0,0.99,0.95,0.26,[Fe/H],-0.119,4.42,8.71,0.2644,19h15m53.19s,288.9716297,+44d37m28.72s,44.6246451,14.64718,75.9239,65.81435,304.38603,23.6602042,-9.4212,21.7036,258.893,0.8898464
2689,Kepler-953 c,Kepler-953,c,1,2,0,2016,9.10967112,0.0862,1.19,0.106,1.81,0.0057,M-R relationship,5.9,873.0,5416.0,0.99,0.95,0.26,[Fe/H],-0.119,4.42,8.71,0.44401,19h15m53.19s,288.9716297,+44d37m28.72s,44.6246451,14.64718,75.9239,65.81435,304.38603,23.6602042,-9.4212,21.7036,258.893,0.8898464
2690,Kepler-954 b,Kepler-954,b,1,1,0,2016,16.78176602,0.118,2.32,0.207,5.99,0.0189,M-R relationship,2.64,545.0,4990.0,0.76,0.82,0.02,[Fe/H],-0.572,4.59,3.39,1.87375,19h43m26.26s,295.8594318,+47d56m22.56s,47.9396001,11.79563,81.10942,67.06796,318.58227,20.3513105,7.46542,18.9326,215.814,4.60485
