,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
0,51 Eri b,51 Eri,b,3,1,0,2015,11688.0,13.2,13.4,1.19,635.66,2.0,Mass,1.45,700.0,7295.0,1.49,1.75,-0.027,[M/H],0.85,4.31,0.02,0.70712,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.31361,77.7287954,44.3523,-63.8329,29.7575,33.577
1,55 Cnc b,55 Cnc,b,2,5,0,1996,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0.54,700.0,5172.0,0.94,0.91,0.35,[Fe/H],-0.197,4.43,5.5,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.73069,539.1329986,-485.872,-233.651,12.5855,79.4274
2,55 Cnc e,55 Cnc,e,2,5,0,2004,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,6.66,1958.0,5172.0,0.94,0.91,0.35,[Fe/H],-0.197,4.43,10.2,1.41,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.73069,539.1329986,-485.872,-233.651,12.5855,79.4274
3,BD+20 594 b,BD+20 594,b,1,1,0,2016,41.6855,0.241,2.578,0.23,22.2481,0.07,Mass,7.89,546.0,5766.0,1.08,1.67,-0.15,[Fe/H],-0.056,4.5,3.34,1.89,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.29259,63.0539428,36.5714,-51.3647,179.461,5.54366
4,CD Cet b,CD Cet,b,1,1,0,2020,2.2907,0.0185,1.82,0.162,3.9576509126515957,0.01243,Msini,3.6,464.0,3130.0,0.17,0.16,0.13,[Fe/H],-2.533,4.93,3.0,30.35878,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,-43.1678,175.42689,-12.69914,47.24706,1743.982574,1741.86,86.0172,8.60715,116.154
5,CoRoT-1 b,CoRoT-1,b,1,1,0,2008,1.5089557,0.02752,16.7,1.49,327.35,1.03,Mass,0.38,1898.0,5950.0,1.11,0.95,-0.3,[M/H],0.298,4.25,1.6,0.93,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,-2.10712,215.33882,-25.9795,103.44182,6.039454,-6.01462,0.54713,787.909,1.24176
6,CoRoT-10 b,CoRoT-10,b,1,1,0,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,Mass,3.7,600.0,5075.0,0.79,0.89,0.26,[Fe/H],-0.726,4.65,3.0,3.32,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,-6.95299,37.36069,22.5266,292.89599,22.9585905,-3.19635,-22.735,338.386,2.92694
7,CoRoT-11 b,CoRoT-11,b,1,1,0,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.99,1657.0,6440.0,1.37,1.27,-0.03,[Fe/H],0.378,4.22,2.0,0.69,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,4.63005,37.24009,28.92669,282.16613,5.5818875,1.91873,-5.24175,655.037,1.50071
8,CoRoT-12 b,CoRoT-12,b,1,1,0,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.411,1442.0,5675.0,1.12,1.08,0.16,[Fe/H],0.07,4.38,6.3,1.08,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,-2.45441,213.13155,-24.29495,101.82309,3.8659215,1.69419,-3.47492,1126.37,0.861234
9,CoRoT-13 b,CoRoT-13,b,1,1,0,2010,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,2.34,1700.0,5945.0,1.01,1.09,0.01,[Fe/H],0.073,4.46,1.635,1.468,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,-2.43966,217.3986,-27.89339,104.36935,3.6450532,1.63671,-3.25693,1148.93,0.843947
10,CoRoT-14 b,CoRoT-14,b,1,1,0,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,7.3,1952.0,6035.0,1.21,1.13,0.05,[Fe/H],0.119,4.35,4.2,0.91,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,-2.02059,218.11787,-28.26924,105.21063,3.6035031,-0.118627,-3.60155,1744.6,0.547358
11,CoRoT-17 b,CoRoT-17,b,1,1,0,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,2.82,1626.0,5740.0,1.59,1.04,0.0,[Fe/H],0.134,4.4,10.7,0.32,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,0.66631,25.15299,16.55509,279.01767,9.2427444,-4.54107,-8.05028,1176.12,0.82338
12,CoRoT-18 b,CoRoT-18,b,1,1,0,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,2.2,1550.0,5440.0,1.0,0.95,-0.1,[Fe/H],-0.17,4.4,0.032,1.35,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,-4.18491,210.8191,-23.2188,98.89828,4.0100233,2.33468,-3.2603,764.889,1.28063
13,CoRoT-19 b,CoRoT-19,b,1,1,0,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.71,2000.0,6090.0,1.65,1.21,-0.02,[Fe/H],0.544,4.07,5.0,0.38,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,-5.26125,210.42057,-23.42296,97.66886,7.6938008,4.79937,-6.01337,790.663,1.23764
14,CoRoT-2 b,CoRoT-2,b,2,1,0,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,Mass,1.47,1521.0,5625.0,0.91,0.96,0.04,[Fe/H],-0.131,4.53,2.7,1.814,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,-7.29102,38.26267,23.0439,293.76892,11.4550454,-3.40878,-10.9361,213.283,4.66076
15,CoRoT-22 b,CoRoT-22,b,1,1,0,2014,9.75598,0.092,4.88,0.435,12.2,0.038,Mass,0.249,885.0,5939.0,1.14,1.1,0.17,[Fe/H],0.014,4.36,3.3,1.027,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,4.775,37.48307,29.20889,282.17043,2.3150628,2.02362,1.12449,627.158,1.56624
16,CoRoT-23 b,CoRoT-23,b,1,1,0,2011,3.6313,0.048,11.77,1.05,889.9,2.8,Mass,3.0,1660.0,5900.0,1.61,1.14,0.05,[Fe/H],0.087,4.3,7.2,0.5,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,4.71959,35.41749,27.42413,281.00355,8.6628393,-2.40647,-8.32188,1060.97,0.91542
17,CoRoT-24 b,CoRoT-24,b,1,2,0,2014,5.1134,0.056,3.7,0.33,5.7,0.018,Mass,0.9,1070.0,4950.0,0.86,0.91,0.3,[Fe/H],-0.601,4.55,11.0,1.94863,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,-2.52763,215.81744,-26.6085,103.33092,3.0425443,-1.29402,2.75365,591.555,1.66329
18,CoRoT-24 c,CoRoT-24,c,1,2,0,2014,11.759,0.098,5.0,0.44,28.0,0.088,Mass,1.3,850.0,4950.0,0.86,0.91,0.3,[Fe/H],-0.601,4.55,11.0,1.94863,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,-2.52763,215.81744,-26.6085,103.33092,3.0425443,-1.29402,2.75365,591.555,1.66329
19,CoRoT-25 b,CoRoT-25,b,1,1,0,2013,4.86069,0.0578,12.11,1.08,85.81,0.27,Mass,0.15,1330.0,6040.0,1.19,1.09,-0.01,[Fe/H],0.141,4.31,4.5,0.64637,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,4.94113,37.73014,29.50564,282.15635,2.6431764,-2.48353,0.904688,1103.48,0.878853
20,CoRoT-27 b,CoRoT-27,b,1,1,0,2014,3.57532,0.0476,11.287,1.007,3302.11,10.39,Mass,12.6,1500.0,5900.0,1.08,1.05,-0.1,[M/H],-0.166,4.4,4.21,1.24,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,6.39649,35.89455,28.6935,279.65023,9.7710073,0.326224,-9.76556,1010.28,0.96604
21,CoRoT-3 b,CoRoT-3,b,1,1,0,2008,4.2568,0.05783,11.32,1.01,6883.91,21.66,Mass,26.4,1695.0,6740.0,1.56,1.37,0.14,[Fe/H],0.391,4.22,2.2,0.431,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,-8.12065,37.26302,21.75377,293.84676,3.5086162,3.49344,-0.325982,768.771,1.27472
22,CoRoT-5 b,CoRoT-5,b,1,1,0,2009,4.0378962,0.04947,15.558,1.388,148.42,0.467,Mass,0.217,1438.0,6100.0,1.19,1.0,-0.25,[M/H],0.18,4.19,6.9,1.01,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,-1.0362,211.48472,-22.14821,102.18768,8.8293871,-3.0708,-8.27818,882.472,1.1054
23,CoRoT-6 b,CoRoT-6,b,1,1,0,2009,8.886593,0.0855,13.068,1.166,940.74,2.96,Mass,2.32,1017.0,6090.0,1.02,1.05,-0.2,[Fe/H],0.026,4.43,2.5,1.31,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,4.6158,38.06304,29.61659,282.67508,5.8112583,5.51211,1.84048,645.294,1.52152
24,CoRoT-7 b,CoRoT-7,b,1,2,0,2009,0.85359163,0.017016,1.681,0.15,4.07661,0.01283,Mass,6.61,1756.0,5275.0,0.83,0.82,0.05,[Fe/H],-0.289,4.5,1.75,2.0,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,-2.17853,213.01042,-24.04666,102.0101,10.9609274,10.9604,-0.10752,159.906,6.22504
25,CoRoT-8 b,CoRoT-8,b,1,1,0,2010,6.21229,0.063,6.39,0.57,69.92,0.22,Mass,1.6,870.0,5080.0,0.77,0.88,0.3,[M/H],-0.4,4.58,3.0,2.7,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,-7.10426,38.21286,23.11609,293.57414,35.483344,13.5768,-32.7832,322.037,3.07662
26,CoRoT-9 b,CoRoT-9,b,2,1,0,2009,95.272656,0.4021,11.949,1.066,266.9772,0.84,Mass,0.86,420.0,5625.0,0.96,0.96,-0.01,[Fe/H],-0.254,4.54,6.0,1.51,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,4.66217,37.52335,29.18378,282.30457,20.7840672,-14.471,-14.9187,412.98,2.39295
27,EPIC 211822797 b,EPIC 211822797,b,1,1,0,2016,21.1701963,0.1195,1.92,0.171,4.35,0.0137,M-R relationship,3.38,431.0,4057.0,0.58,0.62,0.2,[Fe/H],-1.153,4.7,0.79,3.87972,08h41m38.45s,130.4102091,+17d38m23.91s,17.6399744,32.03739,208.28299,-0.60769,128.15632,37.9241885,-36.1698,-11.4013,186.197,5.34209
28,EPIC 211945201 b,EPIC 211945201,b,1,1,0,2018,19.49221,0.1493,5.76,0.514,27.0,0.08495,Mass,0.65,817.0,6069.0,1.39,1.17,0.1,[Fe/H],0.373,4.22,3.99,2.253,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,38.12775,208.78206,2.68664,133.29658,61.7731533,45.4915,-41.7905,181.69,5.47529
29,EPIC 220674823 b,EPIC 220674823,b,1,2,0,2016,0.571331,0.0134,1.82,0.162,7.72,0.02429,Mass,8.5,2119.0,5617.0,0.98,0.97,0.13,[Fe/H],-0.119,4.45,5.0,1.35,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22656,61.004017,60.9629,2.2394,244.59,4.06029
30,EPIC 220674823 c,EPIC 220674823,c,1,2,0,2016,13.339079,0.1091,2.73,0.244,5.8,0.01825,Mass,2.0,741.0,5617.0,0.98,0.97,0.13,[Fe/H],-0.119,4.45,5.0,1.35,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22656,61.004017,60.9629,2.2394,244.59,4.06029
31,EPIC 246851721 b,EPIC 246851721,b,2,1,0,2018,6.180235,0.07229,11.781,1.051,953.49,3.0,Mass,3.1,1401.0,6202.0,1.59,1.32,0.141,[Fe/H],0.526,4.16,3.02,0.465,05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,-12.64088,186.97531,-6.74975,79.29424,13.2641483,2.71745,-12.9828,372.632,2.66391
32,EPIC 249893012 b,EPIC 249893012,b,1,3,0,2020,3.5951,0.047,1.95,0.174,8.75,0.02753,Mass,6.39,1616.0,5430.0,1.71,1.05,0.2,[Fe/H],0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429
33,EPIC 249893012 c,EPIC 249893012,c,1,3,0,2020,15.624,0.13,3.67,0.327,14.67,0.04616,Mass,1.62,990.0,5430.0,1.71,1.05,0.2,[Fe/H],0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429
34,EPIC 249893012 d,EPIC 249893012,d,1,3,0,2020,35.747,0.22,3.94,0.352,10.18,0.03203,Mass,0.91,752.0,5430.0,1.71,1.05,0.2,[Fe/H],0.356,3.99,9.0,0.298,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429
35,G 9-40 b,G 9-40,b,1,1,0,2019,5.746007,0.0385,2.025,0.181,4.76,0.015,M-R relationship,3.15,456.0,3348.0,0.31,0.29,0.04,[Fe/H],-1.971,4.93,9.9,14.11,08h58m52.52s,134.7188514,+21d04m29.27s,21.0747961,37.03563,206.06509,3.79417,131.148,363.6302602,175.512,-318.469,27.9276,35.7781
36,GJ 1132 b,GJ 1132,b,1,2,0,2015,1.628931,0.0153,1.13,0.101,1.66,0.00522,Mass,6.3,529.0,3270.0,0.21,0.18,-0.12,[Fe/H],-2.359,4.88,5.0,15.4,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,7.75911,277.25461,-52.42012,181.4378,1132.4832583,-1053.98,414.3,12.613,79.2543
37,GJ 1214 b,GJ 1214,b,1,1,0,2009,1.58040433,0.0149,2.742,0.245,8.17,0.02571,Mass,2.2,596.0,3250.0,0.21,0.18,0.29,[Fe/H],-2.337,5.03,3.0,25.4,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,23.60704,26.16217,27.91224,257.38635,948.0511007,580.447,-749.588,14.6427,68.2653
38,GJ 143 b,GJ 143,b,1,2,0,2019,35.61253,0.1915,2.61,0.233,22.7,0.07142,Mass,7.0,422.0,4640.0,0.69,0.73,0.003,[Fe/H],-0.686,4.61,3.8,3.03,03h27m00.05s,51.7501882,-63d30m00.60s,-63.500166,-45.82079,279.23027,-73.83641,352.88223,432.8060751,355.084,-247.46,16.32,61.2455
39,GJ 3470 b,GJ 3470,b,1,1,0,2012,3.3366496,0.0355,4.57,0.408,13.9,0.04373,Mass,0.8,594.0,3600.0,0.55,0.54,0.2,[Fe/H],-1.538,4.7,1.65,3.3,07h59m05.64s,119.7735021,+15d23m28.35s,15.391209,21.75667,206.23529,-5.12786,118.73031,194.3609859,-185.734,-57.2632,29.4214,33.9601
40,GJ 436 b,GJ 436,b,1,1,0,2004,2.64388312,0.0291,4.17,0.372,22.1,0.07,Mass,1.8,686.0,3586.11,0.46,0.47,0.099,[Fe/H],-1.585,4.79,6.0,7.0,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,74.57238,210.55638,22.62623,164.7791,1209.8576781,895.047,-814.031,9.75321,102.501
41,GJ 9827 b,GJ 9827,b,1,3,0,2017,1.2089819,0.0188,1.577,0.141,4.91,0.01545,Mass,6.93,1044.0,4340.0,0.6,0.61,-0.26,[m/H],-0.942,4.66,10.0,3.97,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855
42,GJ 9827 c,GJ 9827,c,1,3,0,2017,3.6480957,0.03925,1.241,0.111,0.84,0.00264,Mass,2.42,722.0,4340.0,0.6,0.61,-0.26,[m/H],-0.942,4.66,10.0,3.76,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855
43,GJ 9827 d,GJ 9827,d,1,3,0,2017,6.2014698,0.05591,2.022,0.18,4.04,0.01271,Mass,2.69,605.0,4340.0,0.6,0.61,-0.26,[m/H],-0.942,4.66,10.0,3.76,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855
44,GPX-1 b,GPX-1,b,1,1,0,2021,1.744579,0.0338,16.477,1.47,6261.21962,19.7,Mass,8.222423,2300.0,7000.0,1.56,1.68,0.35,[Fe/H],0.727,4.27,0.27,0.62032,02h33m28.60s,38.3691648,+56d01m32.55s,56.025708,-4.05517,136.89331,38.52664,55.94132,3.252516,-3.2521,0.052018,655.013,1.49895
45,HAT-P-1 b,HAT-P-1,b,2,1,0,2006,4.46529976,0.05561,14.785,1.319,166.86075,0.525,Mass,0.282,1322.0,5980.0,1.17,1.15,0.13,[Fe/H],0.225,4.36,3.6,0.908,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,-19.03641,99.79172,41.04188,4.29573,52.8378021,32.3837,-41.7508,158.979,6.26153
46,HAT-P-11 b,HAT-P-11,b,1,2,0,2008,4.88780244,0.05254,4.36,0.389,26.69772,0.084,Mass,1.68,838.0,4780.0,0.68,0.81,0.31,[Fe/H],-0.567,4.66,6.5,3.70008,19h50m50.44s,297.7101763,+48d04m54.71s,48.0818635,10.77239,81.83486,66.63008,321.55042,264.8686021,125.984,232.988,37.7647,26.4508
47,HAT-P-12 b,HAT-P-12,b,1,1,0,2009,3.2130598,0.0384,10.749,0.959,67.059,0.211,Mass,0.3192,963.0,4650.0,0.7,0.73,-0.29,[Fe/H],-0.678,4.61,2.5,2.205,13h57m33.27s,209.3886452,+43d29m35.92s,43.49331,68.87632,87.99255,50.63176,184.7793,141.8823722,-134.791,-44.2944,142.751,6.97632
48,HAT-P-13 b,HAT-P-13,b,1,2,0,2009,2.91625,0.04383,14.258,1.272,270.462,0.851,Mass,0.362,1740.0,5653.0,1.76,1.32,0.46,[Fe/H],0.346,4.13,5.0,0.23563,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,37.54198,172.49839,27.90694,119.44482,35.7342909,-24.1415,-26.3463,246.81,4.02313
49,HAT-P-14 b,HAT-P-14,b,2,1,0,2010,4.62767,0.0596,15.917,1.42,1093.3352,3.44,Mass,1.56,1624.0,6600.0,1.82,2.65,0.11,[Fe/H],0.644,4.25,1.6,0.62,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,33.53751,62.58916,61.12638,253.78816,7.0779684,2.24068,-6.71394,222.663,4.46233
50,HAT-P-15 b,HAT-P-15,b,1,1,0,2010,10.8635,0.0965,11.882,1.06,616.5902,1.94,Mass,1.96,904.0,5568.0,1.07,1.0,0.22,[Fe/H],0.0,4.38,6.8,1.14,04h24m59.55s,66.248142,+39d27m38.17s,39.460602,-6.8916,161.55863,17.57822,70.96171,17.186859,14.4034,-9.37711,192.516,5.16638
51,HAT-P-16 b,HAT-P-16,b,3,1,0,2010,2.77596,0.0413,14.448,1.289,1332.605,4.193,Mass,2.42,1626.0,6158.0,1.24,1.22,0.17,[Fe/H],0.294,4.34,2.0,1.104,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,-20.34266,120.34675,34.79241,27.65012,22.0468365,-21.5641,-4.58831,226.637,4.38591
52,HAT-P-17 b,HAT-P-17,b,1,2,0,2010,10.33852,0.0882,11.769,1.05,184.3414,0.58,Mass,0.64,792.0,5246.0,0.87,0.99,0.0,[Fe/H],-0.289,4.53,7.8,2.08,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,-16.17689,80.8515,41.6341,339.89628,150.2840947,-80.3954,-126.972,92.3831,10.796
53,HAT-P-18 b,HAT-P-18,b,1,1,0,2010,5.508023,0.0559,11.153,0.995,62.61,0.197,Mass,0.25,852.0,4803.0,0.75,0.77,0.1,[Fe/H],-0.569,4.57,12.4,2.94,17h05m23.13s,256.346376,+33d00m44.37s,33.0123251,35.56176,55.652,55.48655,249.55241,39.2955032,-14.0729,-36.6891,161.4,6.16693
54,HAT-P-19 b,HAT-P-19,b,1,1,0,2010,4.008778,0.0466,12.689,1.132,92.802,0.292,Mass,0.25,1010.0,4990.0,0.82,0.84,0.23,[Fe/H],-0.432,4.54,8.8,2.32555,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,-28.07947,119.8176,27.92999,23.4224,42.0916998,-26.7753,-32.4776,202.078,4.91998
55,HAT-P-2 b,HAT-P-2,b,1,1,0,2007,5.6335158,0.06814,10.66,0.951,2765.121,8.7,Mass,7.29,1540.0,6380.0,1.39,1.33,0.18,[Fe/H],0.53,4.16,1.44,0.434,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,45.2323,65.02085,61.01151,229.16183,30.9650963,-10.312,-29.1976,127.774,7.79749
56,HAT-P-20 b,HAT-P-20,b,1,1,0,2010,2.875317,0.0361,9.718,0.867,2302.899,7.246,Mass,13.78,970.0,4595.0,0.69,0.76,0.35,[Fe/H],-0.721,4.63,6.7,2.36,07h27m39.94s,111.9164295,+24d20m10.03s,24.3361185,18.39436,194.41535,2.39826,109.9004,96.3636397,-4.98526,-96.2346,71.0374,14.0483
57,HAT-P-21 b,HAT-P-21,b,1,1,0,2010,4.12448,0.0494,12.442,1.11,1547.8321,4.87,Mass,4.6,1283.0,5588.0,1.21,1.24,0.01,[Fe/H],0.025,4.33,10.2,1.0,11h25m05.98s,171.2749348,+41d01m40.87s,41.0280207,67.4636,169.32461,33.83073,153.84981,13.2872218,-1.08803,13.2426,277.278,3.57807
58,HAT-P-22 b,HAT-P-22,b,2,1,0,2010,3.21222,0.0414,12.89,1.15,785.0401,2.47,Mass,2.14,1463.0,5302.0,1.11,1.13,0.24,[Fe/H],-0.114,4.36,12.4,1.16,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,53.56645,163.64677,36.80858,136.85656,87.7253495,-26.1816,83.7273,81.7647,12.2014
59,HAT-P-23 b,HAT-P-23,b,1,1,0,2010,1.21288,0.0232,12.218,1.09,425.8922,1.34,Mass,1.406,1951.0,5905.0,0.96,0.58,0.15,[Fe/H],0.199,4.33,4.0,0.92,20h24m29.74s,306.1239076,+16d45m43.73s,16.7621462,-11.83428,58.93637,34.90735,313.49804,14.3246506,13.263,-5.41188,364.813,2.71289
60,HAT-P-24 b,HAT-P-24,b,2,1,0,2010,3.35524,0.04651,14.572,1.3,238.3725,0.75,Mass,0.44,1637.0,6373.0,1.38,1.37,-0.16,[Fe/H],0.408,4.27,2.8,0.74,07h15m18.03s,108.8251171,+14d15m45.38s,14.2626064,11.65314,202.73799,-7.98172,108.40875,8.330933,8.15226,-1.71613,415.344,2.37947
61,HAT-P-25 b,HAT-P-25,b,1,1,0,2010,3.65281514,0.0466,12.722,1.135,180.84527,0.569,Mass,0.483,1182.0,5519.0,0.92,1.01,0.294,[Fe/H],-0.152,4.52,3.2,1.84,03h13m44.51s,48.4354731,+25d11m50.48s,25.1973548,-27.44257,159.31431,6.96747,52.78564,19.1456731,13.4899,-13.586,300.384,3.30091
62,HAT-P-26 b,HAT-P-26,b,1,1,0,2010,4.23452,0.0479,7.062,0.63,22.2481,0.07,Mass,0.4,1001.0,5079.0,0.87,1.12,-0.04,[Fe/H],-0.359,4.56,9.0,2.37,14h12m37.57s,213.1565508,+04d03m33.90s,4.0594175,59.87255,346.51303,16.37718,209.49555,147.8161704,37.8389,-142.891,141.837,7.02213
63,HAT-P-28 b,HAT-P-28,b,1,1,0,2011,3.257215,0.0434,13.585,1.212,198.953,0.626,Mass,0.44,1384.0,5680.0,1.1,1.03,0.12,[Fe/H],0.053,4.36,6.1,1.24374,00h52m00.22s,13.0009159,+34d43m42.25s,34.728402,-28.1432,123.06375,26.68801,26.32677,25.6783419,25.5187,2.85888,401.319,2.46327
64,HAT-P-29 b,HAT-P-29,b,2,1,0,2011,5.72319,0.0667,13.115,1.17,279.6904,0.88,Mass,0.79,1271.0,6087.0,1.3,1.45,0.21,[Fe/H],0.272,4.34,2.2,0.93,02h12m31.46s,33.1310921,+51d46m43.59s,51.7787754,-9.10798,135.4706,35.89413,50.2406,9.9866415,-9.80455,1.89837,313.576,3.16099
65,HAT-P-3 b,HAT-P-3,b,2,1,0,2007,2.8997,0.03866,10.536,0.94,206.5895,0.65,Mass,0.855,1189.0,5185.0,0.87,1.06,0.27,[Fe/H],-0.36,4.56,1.6,2.28,13h44m22.56s,206.0940142,+48d01m42.83s,48.028565,66.69255,100.16678,53.04755,177.5345,31.0851689,-19.7461,-24.0079,134.554,7.40311
66,HAT-P-30 b,HAT-P-30,b,2,1,0,2011,2.8106,0.0419,16.141,1.44,263.7989,0.83,Mass,0.309,1630.0,6304.0,1.31,1.55,0.13,[Fe/H],0.312,4.36,1.0,0.98,08h15m47.96s,123.9498431,+05d50m12.72s,5.8368669,21.40542,217.41185,-13.58875,124.85989,29.536512,-17.5162,23.7821,213.985,4.64498
67,HAT-P-31 b,HAT-P-31,b,1,1,0,2011,5.00542,0.061,12.218,1.09,721.4741,2.27,Mass,2.18,1450.0,6065.0,1.39,1.31,0.15,[Fe/H],0.433,4.26,3.17,0.69,18h06m09.04s,271.5376722,+26d25m35.78s,26.4266061,21.06338,52.72026,49.85449,272.13601,15.3265577,-7.43661,-13.4015,344.05,2.87789
68,HAT-P-32 b,HAT-P-32,b,2,1,0,2011,2.1500082,0.03397,22.194,1.98,216.1244,0.68,Mass,0.108,1836.0,6001.0,1.37,1.13,-0.16,[Fe/H],0.338,4.22,2.7,0.625,02h04m10.26s,31.0427614,+46d41m16.26s,46.6878512,-14.37306,135.69851,31.79456,46.25159,10.421795,-9.82484,3.47654,289.205,3.43046
69,HAT-P-33 b,HAT-P-33,b,2,1,0,2011,3.47447,0.04995,20.737,1.85,292.4036,0.92,Mass,0.2,1782.0,6446.0,1.79,1.82,0.05,[Fe/H],0.618,4.15,2.3,0.45,07h32m44.22s,113.1842383,+33d50m06.08s,33.8350214,22.73004,185.30741,11.95415,109.52782,2.6488627,0.0960682,-2.64712,396.11,2.4966
70,HAT-P-36 b,HAT-P-36,b,1,1,0,2011,1.32734683,0.0241,14.314,1.277,587.41341,1.8482,Mass,1.175,1781.0,5620.0,1.04,1.03,0.25,[Fe/H],0.022,4.42,6.6,1.089,12h33m03.89s,188.2662048,+44d54m55.32s,44.9153672,71.83707,133.41389,43.4955,165.02542,14.1613865,-11.6408,8.06453,294.419,3.36776
71,HAT-P-40 b,HAT-P-40,b,1,1,0,2012,4.45724,0.0608,17.038,1.52,152.5584,0.48,Mass,0.15,1770.0,6080.0,1.94,1.03,0.22,[Fe/H],0.778,3.93,2.7,0.2,22h22m03.10s,335.5129199,+45d27m26.43s,45.4573423,-9.86299,97.34365,50.31481,1.50393,10.4684584,8.96222,-5.40992,464.469,2.12459
