ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K01450.01,CFRM,2.144632238,6.2701,19837,59.19,1736,2146.82,6296,4.24,1.305,293.35129,43.13464,Gas Giant,Kepler-854 b
K01323.01,CFRM,3.990105908,2.4108,6154.9,7.45,1124,378.53,5926,4.519,0.913,296.08185,39.161621,Gas Giant,Kepler-817 b
K01456.01,CFRM,7.886632468,5.2147,6331.2,8.99,996,232.07,5847,4.304,1.135,295.095,43.537579,Gas Giant,Kepler-855 b
K01457.01,CFRM,8.027681123,3.0942,8725.4,8.43,824,109.35,5569,4.546,0.887,289.60382,46.314949,Gas Giant,Kepler-856 b
K01278.02,CFRM,44.3471936,6.43,791.7,2.45,484,13,5600,4.455,0.872,284.67728,44.79768,Gas Giant,Kepler-282 e
K01215.01,CFRM,17.32419108,8.045,241.3,3.14,964,204.1,5968,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 b
K01215.02,CFRM,33.0063185,7.118,278.1,3.13,778,86.38,5968,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 c
K01409.01,CFRM,16.56062577,2.611,700.8,2.94,701,57.28,5818,4.436,0.855,285.24667,45.950191,Gas Giant,Kepler-837 b
K01288.01,CFRM,117.931108,5.8796,8506.6,10.36,418,7.2,6392,4.425,1.072,289.02017,48.119808,Gas Giant,Kepler-807 b
K01353.01,CFRM,125.8654019,9.0191,12390,12.37,394,5.71,5933,4.342,1.115,297.46533,42.882839,Gas Giant,Kepler-289 c
K01416.01,CFRM,2.495780169,4.2721,25070,15.75,1408,929.47,6039,4.426,0.992,296.50739,49.457291,Gas Giant,Kepler-840 b
K00017.01,CFRM,3.234699282,3.59385,10559,13.06,1356,797.62,5640,4.236,1.291,296.83725,48.239944,Gas Giant,Kepler-6 b
K01299.01,CFRM,52.5008645,14.9066,946.7,12.41,812,102.94,4976,3.331,4.157,293.2822,48.2859,Gas Giant,Kepler-432 b
K01426.01,CFRM,38.86848956,6.0573,1004.9,2.81,509,15.89,5618,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 b
K01236.01,CFRM,35.7353616,8.491,778.8,5.47,774,84.66,6366,4.045,1.697,287.3912,42.194832,Gas Giant,Kepler-279 c
K01606.01,CFRM,5.082748362,1.7732,276.7,1.4,928,175.06,5430,4.555,0.858,290.05112,46.713371,Gas Giant,Kepler-905 b
K00192.01,CFRM,10.29099413,4.28889,9655.7,13.43,996,233.08,5803,4.134,1.373,288.25458,43.704868,Gas Giant,Kepler-427 b
K00188.01,CFRM,3.797018259,2.2608,14431,10.07,982,219.64,5167,4.527,0.848,290.35803,40.567741,Gas Giant,Kepler-425 b
K00189.01,CFRM,30.36044536,6.0134,21125,10.99,459,10.47,4939,4.541,0.765,284.87997,49.266991,Gas Giant,Kepler-486 b
K01569.01,CFRM,13.75207851,2.8831,1215.6,2.81,556,22.57,4802,4.616,0.699,283.12964,43.888241,Gas Giant,Kepler-892 b
K00022.01,CFRM,7.891448838,4.2854,10345,12.63,1028,263.54,5972,4.313,1.237,282.62967,46.32336,Gas Giant,Kepler-422 b
K00194.01,CFRM,3.120828136,2.1878,16456,14.16,1303,680.79,6122,4.471,0.996,282.96616,48.34507,Gas Giant,Kepler-488 b
K01574.01,CFRM,114.73658,12.0355,4850,12.28,476,12.13,5597,3.963,1.699,297.91687,46.96513,Gas Giant,Kepler-87 b
K01519.01,CFRM,5.1443645,2.703,310.7,1.55,923,171.63,5157,4.445,0.904,283.47818,43.383781,Gas Giant,Kepler-876 b
K00183.01,CFRM,2.684328541,2.69382,18136,12.73,1265,603.57,5561,4.411,0.956,292.85574,46.391178,Gas Giant,Kepler-423 b
K00195.01,CFRM,3.217518511,2.11481,14319,11.38,1185,464.73,5720,4.473,0.903,289.43463,49.4734,Gas Giant,Kepler-426 b
K01474.01,CFRM,69.72646639,3.7177,4491.2,11.65,613,33.3,6430,4.107,1.731,295.41788,51.184761,Gas Giant,Kepler-419 b
K00020.01,CFRM,4.437962934,4.69813,16388,18.05,1338,757.65,5953,4.175,1.415,286.24344,50.040379,Gas Giant,Kepler-12 b
K00186.01,CFRM,3.24325988,3.03318,16451,12.91,1243,563.17,5823,4.438,1.013,294.99631,50.470058,Gas Giant,Kepler-485 b
K01553.01,CFRM,52.75878505,6.6517,5805.8,8.76,540,20.08,6228,4.413,1.137,288.43576,43.763489,Gas Giant,Kepler-890 b
K00205.01,CFRM,11.720124,3.0039,9763.3,7.94,660,44.89,5215,4.564,0.77,295.49667,42.537891,Gas Giant,Kepler-492 b
K00219.01,CFRM,8.025118521,5.3694,3120.4,7.79,1093,336.73,6002,4.196,1.369,297.21408,41.66404,Gas Giant,Kepler-494 b
K00206.01,CFRM,5.334082429,6.2226,4676.5,13.08,1495,1180.64,6332,4.016,1.905,297.59366,40.977268,Gas Giant,Kepler-433 b
K00214.01,CFRM,3.311864148,1.4049,5976.5,9.06,1116,365.94,5461,4.499,0.937,298.62488,48.57745,Gas Giant,Kepler-424 b
K00200.01,CFRM,7.340714946,2.9987,8510.5,14.31,1155,421.03,6056,4.191,1.498,293.09253,41.355518,Gas Giant,Kepler-74 b
K00208.01,CFRM,3.003879547,3.2848,8538,10.96,1438,1011.87,6311,4.398,1.172,295.30753,38.881641,Gas Giant,Kepler-493 b
K00209.01,CFRM,50.79034648,10.8474,5671.1,10.6,612,33.12,6163,4.185,1.406,288.79303,48.04023,Gas Giant,Kepler-117 c
