,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU,StarClassification,MainSequence,PlanetEarthSize,StellarSunSize
32,K01278.02,CFRM,44.3471936,6.43,791.7,2.45,484.0,13.0,5600.0,4.455,0.872,284.67728,44.79768,Gas Giant,Kepler-282 e,0.769943971316995,0.009206572112256022,G,0,61.60087235036427,2.777397652538529
33,K01215.01,CFRM,17.32419108,8.045,241.3,3.14,964.0,204.1,5968.0,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 b,2.115035647106098,0.0038510345708972645,G,0,129.68135913577134,26.82404818262537
34,K01215.02,CFRM,33.0063185,7.118,278.1,3.13,778.0,86.38,5968.0,3.972,1.857,286.58316,39.077202,Gas Giant,Kepler-277 c,2.115035647106098,0.005919599431781524,G,0,128.4463069102607,26.82404818262537
35,K01409.01,CFRM,16.56062577,2.611,700.8,2.94,701.0,57.28,5818.0,4.436,0.855,285.24667,45.950191,Gas Giant,Kepler-837 b,0.8795317310455755,0.004687748736294028,G,0,106.44630742142944,2.618104357333145
36,K01288.01,CFRM,117.931108,5.8796,8506.6,10.36,418.0,7.2,6392.0,4.425,1.072,289.02017,48.119808,Gas Giant,Kepler-807 b,1.6066910719798604,0.017870636288835787,F,0,4657.660995415325,5.160276411851446
37,K01353.01,CFRM,125.8654019,9.0191,12390.0,12.37,394.0,5.71,5933.0,4.342,1.115,297.46533,42.882839,Gas Giant,Kepler-289 c,1.2404029503909606,0.0176320746194674,G,1,7928.62190863945,5.806483703115299
38,K01416.01,CFRM,2.495780169,4.2721,25070.0,15.75,1408.0,929.47,6039.0,4.426,0.992,296.50739,49.457291,Gas Giant,Kepler-840 b,1.1845743389379548,0.0013505278540455789,F,0,16365.537880253478,4.089061342930251
39,K00017.01,CFRM,3.234699282,3.59385,10559.0,13.06,1356.0,797.62,5640.0,4.236,1.291,296.83725,48.239944,Gas Giant,Kepler-6 b,1.1728249276100786,0.0014506366659157832,G,0,9330.784088868739,9.012957768068928
40,K01299.01,CFRM,52.5008645,14.9066,946.7,12.41,812.0,102.94,4976.0,3.331,4.157,293.2822,48.2859,Gas Giant,Kepler-432 b,2.2881897775735247,0.005640193614489773,K,0,8005.785573355639,300.9045001365846
41,K01426.01,CFRM,38.86848956,6.0573,1004.9,2.81,509.0,15.89,5618.0,4.46,0.897,283.20917,48.777641,Gas Giant,Kepler-297 b,0.8022503446470942,0.008500277061727561,G,0,92.94104880419884,3.023193453201027
42,K01236.01,CFRM,35.7353616,8.491,778.8,5.47,774.0,84.66,6366.0,4.045,1.697,287.3912,42.194832,Gas Giant,Kepler-279 c,2.5022973114343388,0.0065038482041884895,F,0,685.5680794260103,20.470767995262108
43,K01606.01,CFRM,5.082748362,1.7732,276.7,1.4,928.0,175.06,5430.0,4.555,0.858,290.05112,46.713371,Gas Giant,Kepler-905 b,0.6696951226990223,0.0023398347139874593,G,0,11.494040321933854,2.645760161887444
44,K00192.01,CFRM,10.29099413,4.28889,9655.7,13.43,996.0,233.08,5803.0,4.134,1.373,288.25458,43.704868,Gas Giant,Kepler-427 b,1.3978846929785202,0.002929700626365101,G,0,10146.509055649727,10.841770778913382
45,K00188.01,CFRM,3.797018259,2.2608,14431.0,10.07,982.0,219.64,5167.0,4.527,0.848,290.35803,40.567741,Gas Giant,Kepler-425 b,0.5426755165040676,0.001880418306678356,K,1,4277.371988002049,2.55432507112646
46,K00189.01,CFRM,30.36044536,6.0134,21125.0,10.99,459.0,10.47,4939.0,4.541,0.765,284.87997,49.266991,Gas Giant,Kepler-486 b,0.4087032296802131,0.0074743041745879545,K,1,5560.088272946197,1.8753093319110283
47,K01569.01,CFRM,13.75207851,2.8831,1215.6,2.81,556.0,22.57,4802.0,4.616,0.699,283.12964,43.888241,Gas Giant,Kepler-892 b,0.3337000935949258,0.004599943089835035,K,0,92.94104880419884,1.4306063109113354
48,K00022.01,CFRM,7.891448838,4.2854,10345.0,12.63,1028.0,263.54,5972.0,4.313,1.237,282.62967,46.32336,Gas Giant,Kepler-422 b,1.4126657819754243,0.00276972413873275,G,0,8439.149120391954,7.928621908639454
49,K00194.01,CFRM,3.120828136,2.1878,16456.0,14.16,1303.0,680.79,6122.0,4.471,0.996,282.96616,48.34507,Gas Giant,Kepler-488 b,1.2560969737921508,0.001624968979249931,F,0,11892.642648913026,4.13872551617621
50,K01574.01,CFRM,114.73658,12.0355,4850.0,12.28,476.0,12.13,5597.0,3.963,1.699,297.91687,46.96513,Gas Giant,Kepler-87 b,1.4969425607519302,0.013289610167416421,G,0,7756.819930838408,20.5432308236813
51,K01519.01,CFRM,5.1443645,2.703,310.7,1.55,923.0,171.63,5157.0,4.445,0.904,283.47818,43.383781,Gas Giant,Kepler-876 b,0.5740470453327189,0.002187848349818437,K,1,15.598531123848923,3.0945243238992224
52,K00183.01,CFRM,2.684328541,2.69382,18136.0,12.73,1265.0,603.57,5561.0,4.411,0.956,292.85574,46.391178,Gas Giant,Kepler-423 b,0.8208428175414447,0.0013951029353677373,G,0,8641.195290256119,3.6598415733591816
53,K00195.01,CFRM,3.217518511,2.11481,14319.0,11.38,1185.0,464.73,5720.0,4.473,0.903,289.43463,49.4734,Gas Giant,Kepler-426 b,0.8678854255966612,0.001634823670823028,G,0,6173.271753798887,3.0842662405814836
54,K01474.01,CFRM,69.72646639,3.7177,4491.2,11.65,613.0,33.3,6430.0,4.107,1.731,295.41788,51.184761,Gas Giant,Kepler-419 b,2.6566325496048693,0.010685225746154143,F,0,6623.17736533026,21.72600188737765
55,K00020.01,CFRM,4.437962934,4.69813,16388.0,18.05,1338.0,757.65,5953.0,4.175,1.415,286.24344,50.040379,Gas Giant,Kepler-12 b,1.595476823692079,0.0017360051536624316,G,0,24633.165688543275,11.867464161906483
56,K00186.01,CFRM,3.24325988,3.03318,16451.0,12.91,1243.0,563.17,5823.0,4.438,1.013,294.99631,50.470058,Gas Giant,Kepler-485 b,1.0456519113156681,0.0016300986427101902,G,1,9012.957768068929,4.354285942178965
