,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU
446,K00187.01,FPOS,30.8825387,5.3737,24012.0,15.4,593.0,0.021209031318281137,6014.0,4.486,0.993,288.72949,42.55088,,,1.1662548783785032,0.28052811529435295
447,K01604.01,FPOS,72.4914068,3.612,1063.5,15.33,700.0,0.0413401310997815,5754.0,3.639,2.758,299.2475,46.951908,,,2.714339844687889,0.30653936973781143
448,K01605.01,FPOS,4.93913074,1.362,382.9,24.03,1182.0,0.3361034231609614,5956.0,4.324,1.17,291.23883,40.163509,,,1.3218894847199063,0.07502416664446755
449,K01490.01,FPOS,3.55650737,8.545,293.6,3.05,1405.0,0.6687909686817188,4951.0,3.876,1.843,297.12186,46.221909,,,0.9942316183791342,0.04612524216196448
450,K01492.01,FPOS,0.70544824,2.9423,462.4,20.03,1868.0,2.1114857975236707,5717.0,4.564,0.826,289.95078,50.657249,,,0.7922155195591446,0.023172221151686278
451,K01607.01,FPOS,5.00673576,1.9398,191.2,2.0,1324.0,0.5294537509104152,6116.0,4.158,1.383,298.96255,40.630661,,,1.7373311914786842,0.0685278912277113
452,K01493.01,FPOS,4.9883873,9.059,507.6,3.28,1236.0,0.4009613983976693,6418.0,4.395,1.171,296.4418,46.616711,,,1.783800477915327,0.0797924738495472
453,K01496.01,FPOS,36.12895451,2.2348,3758.6,53.72,546.0,0.015331391114348144,5921.0,4.484,0.912,289.60678,39.938332,,,1.006388377284546,0.3065011432235892
454,K01558.01,FPOS,32.50456309,2.4657,7589.6,10.68,591.0,0.02097596504005827,6132.0,4.479,0.947,295.04639,46.97459,,,1.2021235177750058,0.2863872277561102
455,K01559.01,FPOS,1.332560589,4.2427,566.6,1.4,1086.0,0.24058266569555717,4489.0,4.662,0.609,295.18561,46.786709,,,0.22202723171060032,0.036342184569347055
456,K01561.01,FPOS,9.08590495,2.0718,2121.3,6.28,861.0,0.09475600873998542,5931.0,4.479,0.866,296.03342,40.019611,,,0.9620997858606747,0.1205443205212254
457,K01562.01,FPOS,0.784512952,2.4623,586.0,25.48,1952.0,2.500313182811362,5997.0,4.522,0.904,299.556,40.456551,,,1.0497724127973591,0.024512660283183826
458,K01610.01,FPOS,0.883778461,1.6339,120.1,1.09,1934.0,2.4154406409322653,5975.0,4.453,0.949,298.3949,40.62891,,,1.0859463770220594,0.025365654908090413
459,K00021.01,FPOS,4.288515468,2.2959,3456.7,76.51,1722.0,1.5160742898761836,6378.0,3.878,2.002,284.73859,47.169628,,,2.9743540460621904,0.0529878336013401
460,K01728.01,FPOS,12.7319385,4.4157,11449.0,70.11,1145.0,0.29552075746540424,7238.0,4.221,1.568,295.21661,50.084332,,,3.8637667719326725,0.13678911191662171
461,K01497.01,FPOS,0.520222869,1.2216,269.5,1.52,2145.0,3.6696941005098322,5776.0,4.527,0.889,297.04651,49.97039,,,0.8883846154076606,0.018613397696095223
462,K00181.01,FPOS,5.093938816,3.93144,25027.0,17.19,1137.0,0.28796795338674436,6197.0,4.449,1.035,288.25284,51.417332,,,1.370430022247529,0.08252706995215253
463,K00193.01,FPOS,37.59029855,4.3855,19939.0,14.39,573.0,0.01859431900946832,6147.0,4.463,1.003,292.87616,48.195309,,,1.2857138295453396,0.31457346989619595
464,K01500.01,FPOS,3.351556891,2.4005,341.9,1.64,1074.0,0.22922796795338676,5185.0,4.442,0.911,295.52521,46.459431,,,0.5911585152698492,0.06075167361227357
465,K01502.01,FPOS,1.876406096,1.531,433.8,1.57,1192.0,0.3471813546977422,5198.0,4.6,0.759,291.23114,50.56702,,,0.49748203981683425,0.04528460463765524
466,K00175.01,FPOS,6.71425632,3.339,283.5,5.76,1565.0,1.031755280407866,6093.0,3.737,2.623,299.07813,44.293789,,,3.2457385441307474,0.06709783237326761
467,K01565.01,FPOS,0.466743525,1.3956,796.1,20.43,2197.0,3.9919300801165334,5791.0,4.549,0.856,296.33319,40.896259,,,0.8643279442743986,0.017603048605296105
468,K01566.01,FPOS,1.727177258,2.081,347.4,1.42,1250.0,0.4199198834668609,5394.0,4.622,0.72,299.14142,40.725899,,,0.5472260896817573,0.04318572865916056
469,K01747.01,FPOS,20.55848388,1.449,677.3,36.9,624.0,0.02604515659140568,5578.0,4.484,0.936,291.41833,42.579819,,,0.8135428233141104,0.21143009097563417
470,K01504.01,FPOS,2.178154348,3.4874,428.6,22.22,1392.0,0.6459431900946832,5947.0,4.482,0.881,288.01486,46.348949,,,0.9893687580550073,0.04681898648652343
471,K01509.01,FPOS,49.6456235,23.568,857.5,43.41,648.0,0.030276766205389657,6273.0,4.129,1.493,295.26349,46.148022,,,2.075637401211653,0.3132283582479763
472,K01568.01,FPOS,1.008917105,1.4577,338.5,1.51,1636.0,1.237348871085215,5708.0,4.578,0.795,297.50385,40.342972,,,0.7576934209034382,0.029603342435874088
473,K01765.01,FPOS,6.814984472,3.05409,23915.0,14.18,836.0,0.08418062636562272,5465.0,4.566,0.817,296.66086,43.816441,,,0.6542944726944164,0.10546797881136344
474,K01770.01,FPOS,63.9354965,13.321,1250.6,2637.6,2590.0,7.742906045156592,3626.0,0.684,97.41,299.60202,43.695995,,,15.11838052555949,0.052861650057639153
475,K01512.01,FPOS,9.04189129,2.789,783.4,3.24,729.0,0.048674435542607426,5237.0,4.572,0.826,286.88751,50.377071,,,0.5578287231558674,0.1280678292809378
476,K01513.01,FPOS,0.798200403,1.8261,396.8,24.03,2128.0,3.550626365622724,6258.0,4.449,1.031,296.98853,46.596882,,,1.4196831583942584,0.023921218738079904
477,K00182.01,FPOS,3.479425638,3.4479,19550.0,12.86,1166.0,0.3174435542607429,5907.0,4.519,0.878,295.6713,40.59906,,,0.959738527080875,0.06577839644820738
478,K01571.01,FPOS,2.92878704,4.634,549.4,22.76,1239.0,0.40551347414420974,5955.0,4.534,0.883,297.82944,40.706779,,,0.9969612919020697,0.059316644821911804
479,K01644.01,FPOS,2.621706694,1.941,4572.0,34.68,1288.0,0.47250546249089587,5749.0,4.436,0.881,297.38153,48.565041,,,0.8640436300777687,0.051156932309533935
480,K00190.01,FPOS,12.26486736,4.7366,11311.0,28.29,1077.0,0.23152949745083756,5372.0,3.81,2.344,284.64886,41.015018,,,1.752637715521124,0.10408376320520366
481,K01753.01,FPOS,0.979442525,1.0348,469.3,1.64,1567.0,1.0342388929351785,5532.0,4.607,0.745,298.14053,40.073872,,,0.6264342410350436,0.029442005219306632
482,K01514.01,FPOS,1.399326503,1.8305,206.4,1.0,1143.0,0.2932119446467589,4502.0,4.572,0.728,289.32101,46.134319,,,0.26849974143178235,0.03620105111941798
483,K01575.01,FPOS,24.3282251,6.158,1120.6,294.02,520.0,0.012621995630007283,5286.0,4.59,0.78,296.99191,40.758911,,,0.5467562645107478,0.2489848630291986
484,K01761.01,FPOS,10.12742274,1.2762,933.5,3.8,969.0,0.15205389657683904,6392.0,4.399,1.162,294.14682,39.12706,,,1.741581180634886,0.12803041656427844
485,K01762.01,FPOS,0.870693883,1.2137,438.5,2.09,1876.0,2.1293080844865258,5985.0,4.519,0.883,298.13391,40.530289,,,1.0172035153467687,0.026147173498901746
486,K01578.01,FPOS,2.27190723,5.383,149.0,1.12,1318.0,0.5202257829570284,5788.0,4.506,0.856,294.73419,40.86142,,,0.8625382916380967,0.04871170487782049
487,K01579.01,FPOS,7.132351753,2.9674,744.1,49.34,1579.0,1.067822286962855,7530.0,4.08,1.93,294.83032,46.734348,,,5.570930540808417,0.08640809992584474
488,K01654.01,FPOS,1.097211085,1.6738,38946.0,16.07,740.0,0.051718863801893666,3497.0,4.92,0.334,283.79654,49.50399,,,0.04484556767560292,0.035226974839175446
489,K01523.01,FPOS,8.48039789,6.249,259.7,1.71,866.0,0.09675892206846322,5401.0,4.364,1.05,298.73007,46.688671,,,0.8021886963292717,0.10892632017007711
490,K01524.01,FPOS,1.333395306,1.188,114.5,0.86,1390.0,0.641318281136198,5199.0,4.527,0.811,288.92575,39.90155,,,0.5319743024583216,0.03445470936730046
491,K01580.01,FPOS,21.3781146,19.359,556.1,3.18,727.0,0.04802621995630007,6218.0,4.417,1.131,293.66507,40.359531,,,1.5179448938208564,0.2126810883077102
492,K01661.01,FPOS,0.94773253,1.7645,11306.0,45.58,2321.0,4.9984049526584124,6302.0,4.183,1.269,290.73804,39.919651,,,1.7970731161605706,0.022683351806772164
493,K01662.01,FPOS,0.784031658,0.7773,352.2,1.55,1705.0,1.4534959941733432,5435.0,4.578,0.824,294.13202,39.981979,,,0.6455292642244209,0.025211060927979815
494,K01459.01,FPOS,0.692015479,1.1315,4518.1,19.31,1057.0,0.21437727603787327,3752.0,4.747,0.497,287.14313,46.50806,,,0.0884297174567312,0.02429684138388335
495,K01460.01,FPOS,17.0421346,7.507,3616.7,5.14,594.0,0.0214639475600874,5367.0,4.59,0.773,291.28659,43.404411,,,0.5758328077105805,0.19594468020408187
496,K01461.01,FPOS,7.94671044,2.8419,6084.4,27.43,673.0,0.035324107793153675,4859.0,4.626,0.702,287.80457,46.23893,,,0.3513300020384889,0.11930594701606023
497,K01462.01,FPOS,3.74781242,5.241,5367.0,38.04,1172.0,0.3251784413692644,5780.0,4.438,1.0,291.02301,50.262226,,,1.0020788212997491,0.06640948971611767
498,K00184.01,FPOS,7.300735516,5.78725,13052.0,13.32,1086.0,0.2396067006554989,6434.0,4.394,1.138,296.04764,43.762138,,,1.7508825651933493,0.10226313526093757
499,K01463.01,FPOS,1064.268096,11.5521,22772.0,33.63,281.0,0.0010706482155863073,6340.0,3.833,2.173,288.25864,43.376465,,,3.1521529888023054,2.0526755958723633
500,K01464.01,FPOS,2.113202658,3.5234,2104.8,207.71,1281.0,0.46283321194464677,5482.0,4.502,0.858,296.91724,43.517529,,,0.6957191256710478,0.046381499749803
501,K01467.01,FPOS,1.157808038,3.6705,866.7,22.9,1579.0,1.07238164603059,5566.0,4.532,0.886,297.17429,43.479099,,,0.7634789362147942,0.03192007606806609
502,K00178.01,FPOS,6.14281498,4.624,122.0,1.82,1355.0,0.5799417334304443,6495.0,4.128,1.554,292.03149,49.388618,,,2.4828939253106257,0.07827570282538271
503,K01680.01,FPOS,5.0825188,3.328,105.0,0.88,968.0,0.1510924981791697,5706.0,4.561,0.834,290.92316,40.77103,,,0.7937498381707144,0.0867082553439107
504,K01468.01,FPOS,8.48031942,7.297,1426.7,4.54,918.0,0.12236707938820102,5951.0,4.439,0.991,298.82254,46.650269,,,1.1158966797479097,0.11424041428133828
505,K01469.01,FPOS,3.582076914,4.4228,1534.4,5.33,1265.0,0.44010924981791694,6109.0,4.422,0.993,296.07822,43.13694,,,1.2417102864050844,0.0635433292518118
506,K01471.01,FPOS,1.780984316,2.173,590.9,2.33,1397.0,0.6547924253459577,5730.0,4.545,0.87,288.76318,50.174221,,,0.8420313677082623,0.04289951533602556
507,K01538.01,FPOS,10.5815819,6.66929,112640.0,53.19,1098.0,0.24980335032774947,6168.0,4.074,1.567,296.62979,46.880203,,,2.036277612322363,0.10800887381615606
508,K01539.01,FPOS,2.819453322,4.4127,71867.0,29.8,1357.0,0.585142024763292,5767.0,4.33,1.074,284.664,43.98502,,,1.0665829006606735,0.05107480736394654
509,K01684.01,FPOS,62.81584402,2.6901,1688.4,57.62,582.0,0.01976693372177713,6340.0,4.23,1.492,293.53448,41.329899,,,2.164294643024869,0.3958481441354606
510,K01540.01,FPOS,1.207852845,3.5802,49720.0,38.59,1539.0,0.9696358339402767,5601.0,4.533,0.797,299.10327,40.8493,,,0.7042245191100099,0.03223972409148504
511,K01541.01,FPOS,2.379282197,3.1729,48434.0,25.74,1571.0,1.050393299344501,6392.0,4.399,1.162,293.19507,39.90728,,,1.741581180634886,0.04871200035321209
512,K01592.01,FPOS,26.0692512,7.487,831.5,23.61,591.0,0.02101238164603059,5585.0,4.409,0.91,298.9024,40.31953,,,0.7949222112630051,0.23268305103775194
513,K01594.01,FPOS,1.818939148,1.644,331.2,1.82,1549.0,0.9935542607428989,6153.0,4.487,0.962,293.87265,46.714951,,,1.2379789557363472,0.04222803861471698
514,K01693.01,FPOS,3.403743926,1.5017,815.9,10.77,1101.0,0.25271667880553533,5596.0,4.533,0.853,293.25916,42.126629,,,0.7510180660810168,0.06521512234724877
515,K01701.01,FPOS,2.43902575,1.1598,82.5,2.61,2307.0,4.879854333576111,6546.0,3.817,2.784,297.51907,42.777061,,,4.589482990952602,0.036687534514470765
516,K01479.01,FPOS,4.9883872,9.142,638.2,2.59,990.0,0.1655280407865987,5819.0,4.565,0.823,296.43814,46.61536,,,0.8471957995008844,0.0855847100191877
517,K01542.01,FPOS,2.586878667,6.1614,25480.0,19.84,1666.0,1.3281281864530226,6812.0,4.343,1.172,296.87762,43.941631,,,2.265774572661734,0.04941154418471786
518,K01543.01,FPOS,3.964333304,4.7136,25886.0,37.09,1680.0,1.3705608157319737,5758.0,3.808,2.318,290.44736,40.44289,,,2.2876553912946767,0.04887493807807325
519,K01544.01,FPOS,1.525924389,3.15998,24627.0,49.86,1722.0,1.5096868171886382,6203.0,4.427,1.06,295.32077,40.187359,,,1.4089757541011634,0.036546719709506445
520,K01545.01,FPOS,5.910371418,3.88962,17219.0,12.62,1053.0,0.21182083029861615,6200.0,4.488,0.958,293.83688,40.41045,,,1.2709334112442974,0.09266530070333194
521,K01482.01,FPOS,17.7940049,4.091,879.4,312.48,762.0,0.057931536780772036,6273.0,4.442,1.044,288.02271,43.54821,,,1.4514169101573784,0.18935581151337072
522,K01484.01,FPOS,3.47021401,2.289,1105.2,2.4,933.0,0.13038601602330663,4922.0,4.555,0.744,290.61679,49.957619,,,0.3920395687997753,0.06559783673856784
523,K01548.01,FPOS,2.139325409,2.8056,6897.8,11.61,1007.0,0.17723233794610344,4765.0,4.642,0.666,286.25644,46.89267,,,0.3082594355918584,0.04989152514350582
524,K01550.01,FPOS,2.233799622,3.04,2658.5,28.63,1287.0,0.47394756008739986,5741.0,4.555,0.846,296.36569,43.905571,,,0.825108536562928,0.04991493020870116
525,K01551.01,FPOS,31.13862664,5.2482,11427.0,12.88,582.0,0.019825200291332848,5919.0,4.485,1.0,290.56668,40.678162,,,1.1020058239830306,0.28204813152021685
526,K01600.01,FPOS,12.36564669,3.644,388.4,24.89,804.0,0.07174799708667152,6075.0,4.495,0.952,297.84399,39.989811,,,1.1641598237596906,0.15238474291616164
527,K01485.01,FPOS,0.687895191,2.4233,462.5,1.35,1391.0,0.6472833211944647,4478.0,4.615,0.651,282.17941,46.457169,,,0.2350216523873656,0.022795378272087174
528,K01487.01,FPOS,2.92928244,6.794,268.6,38.42,2112.0,3.4278587035688273,6634.0,3.831,2.251,292.07269,50.54829,,,3.914424253050668,0.04042616690890465
529,K01554.01,FPOS,1.332564478,6.0325,1071.5,27.04,1618.0,1.185360524399126,5995.0,4.536,0.878,295.21103,46.757229,,,1.0182204038004783,0.03506192381143228
530,K01555.01,FPOS,41.0772969,5.525,1216.8,3.25,523.0,0.012920611798980334,5665.0,4.381,0.938,289.07703,51.761822,,,0.8673472882536944,0.3099524312888302
531,K01556.01,FPOS,135.9121619,5.628,10188.0,40.18,370.0,0.003211944646758922,6141.0,4.468,0.959,296.4176,46.732021,,,1.224518995428587,0.7386501853025296
532,K01829.01,FPOS,22.84156293,2.5997,2940.7,30.0,557.0,0.01659140568099053,5381.0,4.538,0.826,296.52243,43.363369,,,0.6217596655955016,0.2315846422548877
533,K00213.01,FPOS,48.11881255,5.27958,69851.0,45.18,490.0,0.009905316824471959,6003.0,4.536,0.872,295.71225,45.589771,,,1.016670888747675,0.3832622832053375
534,K00199.02,FPOS,8.78458274,6.459,210.8,2.6,1149.0,0.29974508375819375,5927.0,4.046,1.691,295.02567,46.956001,,,1.873586922470185,0.09458036000648269
535,K00024.01,FPOS,2.086075752,2.2647,3657.8,10.3,1845.0,2.001034231609614,6131.0,4.071,1.417,290.8154,39.819469,,,1.797569309379258,0.03585548795623467
536,K01902.01,FPOS,137.8645881,1.922,2363.0,15.9,170.0,0.00014566642388929354,3645.0,4.797,0.449,296.87683,41.080582,,,0.07115853551313644,0.83613007596143
537,K00215.01,FPOS,42.94386258,3.7591,9207.9,41.62,520.0,0.012571012381646032,5750.0,4.4,0.94,290.16513,51.467258,,,0.9225496792448096,0.3240782074392958
538,K01924.01,FPOS,2.11913005,4.141,28.7,1.35,2090.0,3.2863073561544067,5799.0,3.813,2.377,294.2869,40.21381,,,2.413415771865239,0.032419182389644294
539,K02003.01,FPOS,8.48031229,7.105,351.1,2.58,952.0,0.14119446467589222,5910.0,4.364,1.078,298.83334,46.65453,,,1.180753425559356,0.1093983685603317
540,K01786.01,FPOS,24.68662378,15.168,8052.3,48.04,1149.0,0.3004734158776402,4648.0,2.996,5.132,294.207,38.22345,,,2.150510934274429,0.10120637611109871
541,K02008.01,FPOS,24.4851178,4.642,263.8,7.14,1179.0,0.33258557902403496,6655.0,3.638,2.995,292.22629,43.995312,,,5.274479343091357,0.1506531319670526
542,K01794.01,FPOS,3.364425589,1.3261,4843.0,56.83,1106.0,0.25707938820101967,5813.0,4.589,0.775,299.35651,41.414291,,,0.7944993096250202,0.06650483299245435
543,K02014.01,FPOS,2.466070972,1.9559,704.5,24.3,1260.0,0.43394027676620534,5708.0,4.529,0.884,296.05042,42.113239,,,0.8425169611052067,0.05271259775873951
544,K01798.01,FPOS,12.96471775,1.8303,3732.9,39.93,834.0,0.08320466132556445,6210.0,4.45,1.033,293.1962,42.370628,,,1.3792952864202341,0.15402629589194383
545,K01799.01,FPOS,1.731079436,1.8419,11974.0,56.05,1541.0,0.9705025491624181,6045.0,4.494,0.955,296.30573,41.31712,,,1.1449304932392963,0.04108954146633652
546,K01935.01,FPOS,15.44428875,2.0791,3596.2,37.58,731.0,0.049082301529497455,5895.0,4.489,0.991,299.6517,40.545681,,,1.0744826867298451,0.17700165430601256
547,K01941.01,FPOS,1.194812329,1.3777,189.5,1.36,1806.0,1.8364603058994902,6198.0,4.475,0.97,298.21765,40.341019,,,1.2851935926789226,0.03164707504874716
548,K01810.01,FPOS,87.455958,18.257,1604.9,70.11,728.0,0.04825928623452295,7700.0,4.018,2.111,291.24683,44.00042,,,6.662568141841794,0.4444986627152307
549,K01812.01,FPOS,0.805259257,1.42246,1384.3,63.55,2723.0,9.461099781500364,5872.0,3.926,2.022,290.12653,41.601082,,,2.158320166964169,0.018068712052697385
550,K00023.01,FPOS,4.693305543,5.17249,14523.0,17.85,1389.0,0.6421922796795339,6365.0,4.22,1.47,283.16632,45.403061,,,2.1662146895114804,0.06947975559848833
551,K01944.02,FPOS,8.3606759,6.287,194.8,1.49,929.0,0.12821558630735616,5771.0,4.374,1.068,290.32867,37.72311,,,1.0635700025104446,0.10895638924226499
552,K01948.01,FPOS,26.635216,5.949,1492.8,27.64,536.0,0.014166059723233794,5215.0,4.455,0.882,295.849,46.18129,,,0.5857015401151009,0.24325048942867034
553,K00218.01,FPOS,18.6928606,3.88584,51256.0,14.81,528.0,0.013401310997815002,5190.0,4.66,0.66,295.03354,46.600151,,,0.42993608432516056,0.2142734585113274
554,K00198.01,FPOS,87.24250316,4.1206,17860.0,15.86,390.0,0.0039985433357611075,5671.0,4.501,0.955,292.09824,47.940819,,,0.8868138977455227,0.5633851761992186
555,K02336.01,FPOS,5.33459393,2.642,226.3,0.79,627.0,0.026620538965768388,4275.0,4.704,0.533,296.97107,41.46701,,,0.15983144105673802,0.09269637683734386
556,K02341.01,FPOS,0.990516282,2.019,101.6,3.52,2841.0,11.267174071376548,5975.0,3.755,2.399,299.84909,47.20256,,,2.745190051081055,0.01867320134826115
557,K00231.01,FPOS,119.8401019,3.6796,5448.7,26.96,255.0,0.0007283321194464676,4602.0,4.637,0.675,287.40244,39.190731,,,0.27181959433654557,0.7308289164177344
558,K02265.01,FPOS,2.97600846,4.274,103.2,2.27,1892.0,2.210254916241806,6208.0,3.898,2.088,290.13821,38.491184,,,2.784375842748335,0.04246027669295492
559,K02269.01,FPOS,0.614083885,0.9817,389.5,2.55,2603.0,7.885812090313182,6521.0,4.352,1.276,297.01965,49.997379,,,2.071562329959469,0.01938946671270794
560,K02360.01,FPOS,2.30367952,3.0898,136.4,1.3,1384.0,0.6308885651857247,6191.0,4.546,0.865,287.80408,43.168961,,,1.1409059718073038,0.050873155067282294
561,K00224.01,FPOS,3.979867514,2.3607,907.6,26.5,1173.0,0.3254843408594319,6032.0,4.485,0.973,295.6402,40.794842,,,1.1565081604554144,0.07130982572085891
562,K02128.01,FPOS,24.2598301,3.897,1540.3,25.42,547.0,0.01538965768390386,5485.0,4.574,0.805,286.94415,42.580631,,,0.6541734858286758,0.24664485638916353
563,K02201.01,FPOS,116.5214317,5.577,771.5,44.41,457.0,0.00752367079388201,6056.0,4.179,1.411,286.37,37.552521,,,1.7039663323728078,0.5693190114653267
564,K02283.01,FPOS,17.40208965,3.745,616.5,16.37,422.0,0.005455207574654042,4098.0,4.662,0.615,291.37744,47.21257,,,0.15572325102133286,0.20212087267026588
565,K00027.01,FPOS,1.141877248,4.33931,309490.0,88.62,2184.0,3.902978878368536,6158.0,4.152,1.368,285.39404,38.904911,,,1.7661816386105045,0.02544835158488129
566,K00236.01,FPOS,5.77675928,6.789,3522.5,32.77,954.0,0.14260014566642387,5544.0,4.435,0.875,298.80206,44.420349,,,0.742149619752669,0.08630298637318
567,K00225.01,FPOS,0.838597429,1.68668,2482.1,44.67,2278.0,4.62727603787327,6366.0,4.352,1.236,294.9133,41.074711,,,1.8225335750930125,0.02374188182056216
568,K02136.01,FPOS,1.728528176,3.682,197.6,5.07,2720.0,9.452192279679535,6153.0,3.597,3.279,295.50107,40.410225,,,4.219680868876801,0.025276305953596777
569,K02215.01,FPOS,22.0425953,61.2018,348.0,28.78,760.0,0.057428987618353966,5974.0,4.216,1.26,296.25507,42.53022,,,1.4408605408969748,0.18948963871904326
570,K00025.01,FPOS,3.132604547,3.6337,9969.2,48.73,1444.0,0.7493153678077202,6248.0,4.328,1.181,289.26166,47.815521,,,1.6158629044877344,0.05555331885422237
571,K02306.01,FPOS,0.512407185,1.0579,329.2,1.03,1255.0,0.4249453750910415,3862.0,4.69,0.563,282.28439,42.15419,,,0.11244703344655656,0.019460209963358344
572,K02307.01,FPOS,4.150297119,1.2058,593.4,3.03,981.0,0.15909686817188637,5290.0,4.519,0.858,282.14923,43.37859,,,0.6032544105380251,0.0736647147630651
573,K02151.01,FPOS,7.47763833,2.5693,110.0,2.05,1346.0,0.5655935906773488,5957.0,3.849,1.953,300.22519,43.758179,,,2.208020867618201,0.07474625205315706
574,K02228.01,FPOS,102.653705,53.5887,687.3,39.16,562.0,0.01723233794610342,6711.0,4.097,1.698,293.41794,48.198849,,,3.092268318926913,0.5067649363762854
575,K02230.01,FPOS,0.987338654,2.591,26.5,0.98,2669.0,8.720954115076475,6258.0,3.939,1.896,300.77875,45.110222,,,2.6107849353205763,0.020698726317923594
576,K02233.01,FPOS,1.811460943,5.065,428.5,2.83,1508.0,0.8917479970866714,5700.0,4.382,1.008,295.47537,45.239979,,,0.9553235517987893,0.039155632614192436
577,K02159.02,FPOS,2.392630668,1.3705,101.5,1.33,1418.0,0.6958557902403496,5716.0,4.343,1.091,285.13831,45.004539,,,1.0456447490794005,0.046373783668834934
578,K00233.01,FPOS,1.824649,4.2285,3218.5,5.31,1508.0,0.8902257829570284,6190.0,4.487,0.793,295.24182,40.155209,,,1.045264770519232,0.04099238117392662
579,K00026.01,FPOS,15.03946326,5.1008,5237.7,12.36,962.0,0.14756008739985432,6501.0,4.212,1.441,294.73282,40.150341,,,2.3108681922178613,0.14970737984380988
580,K00230.01,FPOS,4.702495974,2.3421,4787.3,37.24,981.0,0.15956300072833213,5408.0,4.476,0.878,294.51746,38.956341,,,0.6742668021022674,0.07776601865599068
581,K02557.01,FPOS,11.7761073,2.829,281.3,1.31,619.0,0.02530954115076475,5096.0,4.618,0.689,294.1239,48.348999,,,0.41718379366761354,0.15358954458187699
582,K02633.01,FPOS,29.7123181,70.3707,385.4,46.43,870.0,0.09855061908230153,6440.0,3.984,1.921,295.14294,49.993069,,,2.966616201084649,0.20755876485701624
583,K02412.01,FPOS,2.493237866,2.644,259.2,9.48,2241.0,4.3521340131099775,5002.0,3.344,4.131,297.11157,47.534691,,,2.32177683811276,0.02763116404189804
584,K00031.01,FPOS,0.925589891,1.967,400.8,50.6,6637.0,335.1800291332848,4094.0,1.627,24.488,294.0318,42.468845,,,6.176396948478789,0.005135332952978978
585,K02558.01,FPOS,1.867281146,7.495,701.1,31.18,1561.0,1.0239912600145666,6117.0,4.457,1.025,299.41333,40.428478,,,1.2884522172826398,0.042435185760011866
586,K02562.01,FPOS,2.9322509,2.931,181.2,1.33,1312.0,0.5104224326292789,6106.0,4.487,0.966,295.85266,47.503578,,,1.2055767284729069,0.058139678449754185
587,K02565.01,FPOS,2.01948607,5.248,275.4,2.15,1430.0,0.7198616168973052,5884.0,4.481,0.944,295.5582,50.828388,,,1.0159051930992762,0.04494094034501874
588,K02566.01,FPOS,3.04468229,5.951,71.4,0.86,1244.0,0.412257829570284,5575.0,4.363,0.98,293.67426,45.517239,,,0.849955311887964,0.054319237370771455
589,K02642.01,FPOS,15.05028313,1.848,615.2,2.46,735.0,0.0503714493809177,5887.0,4.49,0.989,291.13638,50.575939,,,1.0665051690173193,0.17407216571558612
590,K02644.01,FPOS,0.790539912,1.0567,277.3,1.24,1502.0,0.8744719592134014,4791.0,4.541,0.767,282.40594,46.90448,,,0.36281946384731584,0.024367581011994103
591,K02645.01,FPOS,1.705782214,1.007,278.0,1.82,1455.0,0.7723306627822287,5387.0,4.38,1.009,295.06241,49.049278,,,0.7629034840612523,0.037598735082751876
592,K02646.01,FPOS,0.532086296,4.023,495.8,16.99,1790.0,1.7605826656955572,5271.0,4.636,0.698,292.48703,41.311119,,,0.48374670214920945,0.019829915876971853
593,K02495.01,FPOS,1.08749101,1.6192,126.4,4.91,3081.0,15.578077203204662,5988.0,3.594,3.204,297.85938,40.326939,,,3.6983686915020635,0.018432670086152424
594,K02496.01,FPOS,1.183818383,1.393,84.3,0.91,1775.0,1.702585579024035,6014.0,4.459,0.992,297.04852,46.867981,,,1.1650804021666414,0.03129417790717646
595,K02567.01,FPOS,4.98845099,7.453,193.9,1.33,1055.0,0.2131900946831755,5695.0,4.411,0.961,296.44901,46.623589,,,0.9075881799163078,0.07805504497593062
596,K02648.01,FPOS,0.631795416,1.0703,145.2,1.88,2797.0,10.59510560815732,6414.0,4.173,1.519,290.84714,37.864052,,,2.308150516177362,0.01765710469147689
597,K02425.01,FPOS,3.51295674,3.06,83.1,1.1,1434.0,0.728040786598689,6453.0,4.326,1.17,295.96283,50.24025,,,1.8214743169609025,0.05983754193601871
598,K02499.01,FPOS,7.57571414,2.357,418.5,2.45,1075.0,0.23000728332119447,6418.0,4.395,1.171,295.0174,40.728001,,,1.783800477915327,0.10535191098631068
599,K02501.01,FPOS,4.76887671,1.672,115.8,2.11,1532.0,0.9494610342316095,6063.0,3.926,1.855,294.50977,40.726452,,,2.250529534563953,0.05824301644648596
600,K02573.01,FPOS,1.347512632,1.9817,2651.8,23.45,1346.0,0.5645884923525127,5316.0,4.585,0.685,298.77756,44.119942,,,0.49115773780937905,0.03528454798025526
601,K02574.01,FPOS,0.512581697,1.5789,259.1,1.32,2009.0,2.7879024034959943,5547.0,4.571,0.82,295.46658,46.012402,,,0.6970068491694266,0.01891558658879243
602,K02576.01,FPOS,12.07760884,2.233,151.0,1.03,708.0,0.043343044428259286,5370.0,4.471,0.845,288.77112,39.66798,,,0.6308765453827739,0.1443286529367963
