ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01985.01,CFRM,0.015759740572210815,1.071,623.6,Neptune-like,Kepler-1782 b,0.3204473730407523,5.518633742682839e-05,K,1,3.0313725490196077,0.7925170511742786
K01986.01,CFRM,0.40646182587269,5.499,1532.1,Neptune-like,Kepler-1038 b,0.3584295548589342,8.89386955852011e-05,K,1,1.1176470588235294,0.86956651823183
K02051.01,CFRM,0.07053438631074606,6.908,619.5,Neptune-like,Kepler-355 c,0.46670060188087775,6.55337756943587e-05,G,1,2.4823529411764707,1.0036260043108225
K01848.01,CFRM,0.1358578149212868,7.222,505.5,Neptune-like,Kepler-978 b,0.516906934169279,8.204040340684755e-05,G,0,2.1411764705882352,1.0972861558691638
K01849.01,CFRM,0.022143782696783024,1.8334,952.9,Neptune-like,Kepler-979 b,0.38156812539184953,7.243206787271225e-05,G,0,3.1058823529411765,0.8702406390021057
K01850.01,CFRM,0.031625019794661195,3.3601,402.8,Neptune-like,Kepler-980 b,0.4618982570532915,5.3461764382239994e-05,G,1,3.3137254901960786,1.0152846741305253
K01851.01,CFRM,0.012237521262149212,1.813,553.9,Neptune-like,Kepler-981 b,0.40776273354231973,5.5679072582425056e-05,G,0,4.325490196078431,1.0240242646976805
K01852.01,CFRM,0.04318638724161533,4.957,313.6,Neptune-like,Kepler-982 b,0.6683990846394985,6.701198116114875e-05,F,0,3.7450980392156863,1.1523034880156509
K01915.01,CFRM,0.017966501930184807,4.0144,260.8,Neptune-like,Kepler-335 b,0.7910771661442006,7.563484638409068e-05,G,0,5.0588235294117645,1.2132013412700926
K01916.01,CFRM,0.056615369336071183,4.6395,323.9,Neptune-like,Kepler-336 d,0.5553256927899687,5.962095382719852e-05,G,0,2.937254901960784,1.0904122396572358
