kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec
10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,0,0,0,0,8.109048070,132.8031000,3.59600,2.1740e+02,1.30,800.0,97.03,14.10,3,q1_q17_dr25_tce,5185.00,4.440,0.9100,292.376130,47.880989
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.603052800,166.3420790,6.80570,2.4927e+04,41.50,297.0,1.84,994.00,1,q1_q16_tce,5543.00,4.081,1.5800,292.273740,37.671558
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,21.676991930,171.5359400,3.45550,8.5720e+02,2.95,530.0,18.64,34.30,1,q1_q17_dr25_tce,4954.00,4.500,0.8280,290.465120,47.929180
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.996779680,171.7420800,2.17170,9.3470e+02,2.78,917.0,166.95,28.20,1,q1_q17_dr25_tce,5339.00,4.552,0.8470,297.808260,47.946671
11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.280963604,171.8965900,2.87500,7.5080e+02,2.30,1012.0,247.87,61.80,1,q1_q17_dr25_tce,5644.00,4.564,0.8310,294.265810,49.314091
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,1.506354090,170.9980640,1.51550,2.2117e+03,4.53,1452.0,1054.12,181.10,1,q1_q17_dr25_tce,5714.00,4.563,0.8310,295.665220,49.351009
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,670.645531000,209.0435500,53.41200,1.8091e+04,14.14,196.0,0.35,642.70,1,q1_q17_dr25_tce,5520.00,4.466,0.9830,296.698610,49.316479
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,61.256362800,173.8382600,7.63300,5.1233e+03,39.87,505.0,15.43,85.30,1,q1_q17_dr25_tce,6144.00,4.402,1.0910,283.725920,49.479519
11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,38.377548600,172.8204800,5.58800,7.2420e+02,2.82,529.0,18.53,34.70,1,q1_q17_dr25_tce,5481.00,4.369,1.0360,291.722020,49.480869
10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,41.197255020,165.0040400,4.62970,2.2139e+03,3.86,439.0,8.76,51.20,2,q1_q17_dr25_tce,5031.00,4.485,0.8480,286.999480,48.375790
10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.252962249,171.3012600,2.58190,1.0369e+03,2.65,823.0,108.30,47.10,3,q1_q17_dr25_tce,5031.00,4.485,0.8480,286.999480,48.375790
10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.013084190,176.3608000,3.25540,1.1219e+03,3.10,593.0,29.31,33.20,1,q1_q17_dr25_tce,5015.00,4.499,0.8260,297.025630,48.478588
11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,32.628766720,194.1019000,4.79710,1.8048e+03,3.36,506.0,15.55,80.00,1,q1_q17_dr25_tce,5586.00,4.560,0.7980,285.718540,48.505859
11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.9780,0,0,0,0,91.773286200,193.8378000,6.47300,6.5200e+02,2.12,359.0,3.92,19.10,2,q1_q17_dr25_tce,5586.00,4.560,0.7980,285.718540,48.505859
11138155,K00760.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.959319244,172.2585292,2.22739,9.8020e+03,12.21,1103.0,349.40,696.50,1,q1_q17_dr25_tce,5712.00,4.359,1.0820,292.167050,48.727589
