toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_dist,st_teff,st_logg,st_rad
101.01,231663901,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,-16.011,2459036.904,1.4303691,1.6438728,19151.21621,13.2504933,1281.241792,1525.905097,375.31,5600,4.48851,0.890774
1010.01,139853601,FP,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,4.502,2459228.878,0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,485.122,9438,,1
1011.01,114018671,PC,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,-134.901,2459231.131,2.4696958,2.3244437,233.4371605,1.4549384,555.1966304,1238.030816,52.62,5413.7,4.46,0.941335
1012.01,427508467,PC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,-0.029,2459252.51,0.884182,1.621,1890,24.8132,112144,5098,295.959,8928,3.92,2.72
1013.01,97700520,FP,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,7.061,2459232.248,5.4255548,3.9637474,14939.63422,,273.5880696,1037.275305,510.295,8868.7,,
1014.01,96246348,PC,06h54m14.78s,103.561602,-34d13m22.15s,-34.22282,-13.063,9.737,2459201.973,1.4095043,1.3502669,3554.121201,,1650.444131,1625.623454,224.672,9307,,
1015.01,155044736,PC,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,-17.974,2459229.035,1.3734992,1.6528441,1062.611554,21.9288943,3159.244222,1912.121785,906.496,4897,,6.79961
1016.01,175310067,FP,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,11.614,2459238.831,12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,368.646,7601,4.31,1.53641
1017.01,182943944,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,9.593,2458518.965,1.10422,2.37,14177.7,21.0448,39459.3,3926,406.997,6995.2,4.07,1.61
1018.01,291555748,FP,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,11.56,2458492.781,4.95912,2.509,7440,22.9123,673.55,1419,360.541,5889,3.86,2
1019.01,341420329,PC,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,2.586,2459232.447,5.2340964,3.6909047,20542.29367,24.087882,1453.668007,1574.838624,399.544,7645,4.3,1.56203
102.01,149603524,KP,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,26.046,2459384.943,4.4119288,3.894,14790,15.2023,999.833,1566,175.631,6280,4.32092,1.21
1020.01,140706664,FP,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,4.328,2458521.291,3.28892,3.793,10518.9,,29832.6,3661,906.827,8734.2,4.1,
1021.01,143994283,FP,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,-15.082,2458492.904,1.90879,1.909,618.482,3.34688,985.807,1561,235.974,6022.6,4.52,1.22
1022.01,47384844,PC,10h51m51.58s,162.96491,-05d47m19.35s,-5.788708,-15.787,-11.849,2458547.448,3.09574,4.475,380,3.4262,18087.9,3230,120.666,6084,4.13,1.41
1023.01,238374636,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,22.652,2459303.304,1.3214483,3.435,2180,21.8839,35623.2,3827,316.398,5050.8,3.56,2.99
1024.01,141482386,FP,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,11.563,2458339.723,18.0157,2.524,610,21.644,7.64364,463,692.266,4709,,7.61
1025.01,297967252,PC,09h30m05.08s,142.521159,-51d31m01.61s,-51.517114,-19.153,11.046,2458545.15,9.683792,2.397578,4245.290616,,3176.310735,1914.698933,129.838,8598.7,,
1026.01,388624270,FP,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,-6.325,2459237.46,14.2694372,6.9350494,1246.392187,3.7255381,51.2588496,682.4360542,105.677,5690,4.58,0.853898
1027.01,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2459302.374,3.2834447,1.384,1220,2.69994,79.7847,832,56.3449,4272,4.6,0.68
1027.02,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,12.992,2459304.628,11.0285857,3.164,1770,3.12111,53.4063,753,56.3449,4272,4.6,0.68
1028.01,447283466,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,-33.906,2458544.481,1.01606,2.843,240,1.20704,2784.04,2023,23.7748,4634,4.64,0.68
1029.01,374908020,FP,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,,,2458365.893,36.22214,5.107,7170,,,,,,,
103.01,336732616,KP,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,15.62,2458327.253,3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,411.211,6351,4.22896,1.4
1030.01,464296022,FP,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,22.489,2458551.327,12.12369,4.849,6142.77,9.25664,223.195,1076,78.41273,4807.6,4.17,1.07
1031.01,304021498,FP,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,3.03,2459282.24,5.6496834,2.5612882,1194.333856,6.7892616,1226.220326,1509.252407,270.771,6415.4,3.98,1.9220001
1032.01,146589986,PC,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,6.437,2459283.83,5.664473,3.6459666,3449.581455,14.3057012,7657.477369,2385.839256,587.196,10395,4.13,2.3383701
1033.01,149601557,FP,05h49m07.82s,87.282586,-60d29m54.4s,-60.498444,8.9,20.7,2459179.545,29.0162503,6.507,1440,9.84223,159.189,,219.94,6113.1,,2.01
1034.01,400595342,FP,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,4.109,2459283.338,3.6344692,2.5339234,628.699015,4.2048368,5420.178349,2188.38205,363.44,9810,4.43,1.60776
