,KFold1,KFold2,KFold3,KFold4,KFold5,KFold6,KFold7,KFold8,KFold9,KFold10,Avg Score
LogisticRegression,0.808,0.784,0.8133333333333334,0.824,0.8053333333333333,0.8266666666666667,0.8293333333333334,0.8373333333333334,0.8101604278074866,0.8235294117647058,0.8161689839572193
LinearSVC,0.7653333333333333,0.7386666666666667,0.72,0.7573333333333333,0.7146666666666667,0.7493333333333333,0.7253333333333334,0.7786666666666666,0.7299465240641712,0.767379679144385,0.7446659536541891
KNeighborsClassifier,0.8746666666666667,0.8266666666666667,0.824,0.8373333333333334,0.8506666666666667,0.8666666666666667,0.88,0.856,0.8262032085561497,0.8850267379679144,0.8527229946524064
RandomForestClassifier,0.8826666666666667,0.8506666666666667,0.8586666666666667,0.8853333333333333,0.88,0.8746666666666667,0.896,0.8826666666666667,0.8743315508021391,0.8983957219251337,0.8783393939393939
XGBClassifier,0.8826666666666667,0.8693333333333333,0.8826666666666667,0.8826666666666667,0.8906666666666667,0.88,0.9066666666666666,0.88,0.8823529411764706,0.9117647058823529,0.886878431372549
CatBoostClassifier,0.872,0.8613333333333333,0.872,0.8853333333333333,0.8853333333333333,0.8853333333333333,0.8986666666666666,0.872,0.8716577540106952,0.8903743315508021,0.8794032085561497
