,KFold1,KFold2,KFold3,KFold4,KFold5,KFold6,KFold7,KFold8,KFold9,KFold10,Avg Score
LogisticRegression,0.575,0.675,0.7025,0.69,0.6625,0.6533166458072591,0.6533166458072591,0.6758448060075094,0.6307884856070087,0.6357947434292867,0.6554061326658324
LinearSVC,0.3925,0.59625,0.35125,0.365,0.495,0.3804755944931164,0.36795994993742176,0.4793491864831039,0.5857321652065082,0.5269086357947435,0.45404255319148945
KNeighborsClassifier,0.53625,0.635,0.655,0.66125,0.615,0.60450563204005,0.5619524405506884,0.6220275344180225,0.5794743429286608,0.5519399249061326,0.6022399874843555
RandomForestClassifier,0.71625,0.8125,0.7825,0.79875,0.785,0.7784730913642053,0.7559449311639549,0.7747183979974969,0.7421777221526908,0.6733416770963705,0.7619655819774719
XGBClassifier,0.73875,0.80125,0.79375,0.805,0.785,0.7984981226533167,0.7596996245306633,0.7797246558197747,0.7484355444305382,0.6896120150187734,0.7699719962453065
CatBoostClassifier,0.75,0.80125,0.7975,0.80125,0.7925,0.8035043804755945,0.7672090112640801,0.8035043804755945,0.7321652065081352,0.6821026282853567,0.773098560700876
