VIF Factor,features
6.30345449273472,OrbitalPeriod
1.5978302424993227,TransitDuration
1.8313153753896028,TransitDepth
4.45031580384849,StarSunDiameter
2.114250964114456,PlanetEarthVolume
1.9632717519729712,StarClassification
1.0933210756490164,MainSequence
8.1819917569509,PlanetEarthTemperature
4.4154058747780205,StarSunMass
