iter	Logloss
128	0.3112306375
129	0.3109701691
130	0.3107092866
131	0.3104360463
132	0.3101356288
133	0.3098504383
134	0.3095553531
135	0.3092899373
136	0.3089456524
137	0.3086273469
138	0.3083249007
139	0.3080566202
140	0.3078647957
141	0.3076470824
142	0.3074185516
143	0.3071194142
144	0.3067989449
145	0.3065665025
146	0.3063039313
147	0.3060375026
148	0.3057614053
149	0.3054826712
150	0.3052934651
151	0.3049618074
152	0.3047486966
153	0.3044375154
154	0.304226464
155	0.3039607246
156	0.3037954749
157	0.3035063436
158	0.3032410565
159	0.3030328604
160	0.3028799187
161	0.3026392904
162	0.3024628271
163	0.3022152043
164	0.3020513689
165	0.3018459568
166	0.3016058717
167	0.3013990524
168	0.3012443411
169	0.3009854659
170	0.300812894
171	0.3004632606
172	0.300262617
173	0.3000613775
174	0.2999133212
175	0.2997585946
176	0.2995309541
177	0.2993191077
178	0.2991012419
179	0.2988931843
180	0.2986760468
181	0.2985403844
182	0.2984094851
183	0.2981969702
184	0.2980873495
185	0.2978785839
186	0.2976929083
187	0.297480095
188	0.2972569189
189	0.2971183891
190	0.2969739525
191	0.296807135
192	0.2965668016
193	0.2963936252
194	0.2962613697
195	0.2960845749
196	0.295968186
197	0.2958472512
198	0.2956892624
199	0.2955420434
200	0.2953598858
201	0.2952141942
202	0.295035568
203	0.2949024592
204	0.2947901142
205	0.2946597825
206	0.2944915218
207	0.2942976122
208	0.2941666886
209	0.2940223587
210	0.2938725227
211	0.2936662199
212	0.2935005874
213	0.293354357
214	0.2931431006
215	0.2930202454
216	0.2928959023
217	0.2926875682
218	0.2924347554
219	0.2923026953
220	0.2921390855
221	0.2920040433
222	0.2918417031
223	0.291722231
224	0.2916269356
225	0.2914785159
226	0.2913729793
227	0.2912351432
228	0.2911598998
229	0.2910730921
230	0.2909238386
231	0.2907558892
232	0.2905319342
233	0.2904007893
234	0.2902730579
235	0.2901102166
236	0.2900173083
237	0.2898431395
238	0.2897343226
239	0.2896160716
240	0.2894816628
241	0.2893445463
242	0.2892386739
243	0.2890725351
244	0.2889471417
245	0.2888060586
246	0.2886602634
247	0.2885811505
248	0.2884757562
249	0.2883012576
250	0.2882186674
251	0.2881468223
252	0.2880247503
253	0.2879157762
254	0.2877741556
255	0.2876285865
256	0.287540911
257	0.2874105851
258	0.2872204451
259	0.2871037722
260	0.2870081816
261	0.2868941203
262	0.2868221694
263	0.2867126288
264	0.2865517967
265	0.2864457846
266	0.2863035158
267	0.2861835837
268	0.2860190284
269	0.2859353855
270	0.2857927046
271	0.2856828153
272	0.2855492298
273	0.2854084376
274	0.2853023399
275	0.2852058341
276	0.2850965107
277	0.2849996573
278	0.2849209265
279	0.2848160863
280	0.2847440485
281	0.284628585
282	0.2844474135
283	0.2843393826
284	0.2842214071
285	0.2841322305
286	0.2840285895
287	0.2839051999
288	0.2838204886
289	0.2837139315
290	0.2835984143
291	0.2835187405
292	0.2834039715
293	0.2832928393
294	0.2831941573
295	0.283058372
296	0.2829763179
297	0.2828756791
298	0.2827994118
299	0.2826874675
300	0.2825786173
301	0.282525484
302	0.2824438182
303	0.2822728561
304	0.2821849254
305	0.2820690789
306	0.2819423743
307	0.2818789389
308	0.2817898626
309	0.2817112036
310	0.2816204691
311	0.2815219695
312	0.2814264907
313	0.2812887194
314	0.2812406396
315	0.281141805
316	0.2810243623
317	0.2809199689
318	0.2808285951
319	0.2807616687
320	0.2806266943
321	0.2804916648
322	0.2803999624
323	0.2802654687
324	0.2801346799
325	0.2800075698
326	0.279934621
327	0.2798571749
328	0.2797831541
329	0.2797005588
330	0.2796193234
331	0.2795637473
332	0.2794735948
333	0.2793628046
334	0.2792589981
335	0.2791349982
336	0.279026852
337	0.278953331
338	0.2788449466
339	0.2787587667
340	0.2787049127
341	0.2786004206
342	0.2785313094
343	0.2784492431
344	0.2783825922
345	0.2782206347
346	0.2781298254
347	0.2780664824
348	0.2779915053
349	0.2778962492
350	0.2778364673
351	0.2777528639
352	0.2776385559
353	0.2775799683
354	0.2774719776
355	0.277416758
356	0.2773415078
357	0.2772374684
358	0.277112685
359	0.2770412643
360	0.2769256443
361	0.276811245
362	0.2766504082
363	0.276513008
364	0.2764030494
365	0.2763107259
366	0.2761902535
367	0.2760928427
368	0.2760177726
369	0.2759230626
370	0.2758417102
371	0.275739289
372	0.2756298867
373	0.2755572522
374	0.2754758139
375	0.2753844468
376	0.2752608788
377	0.2752130185
378	0.2751712719
379	0.2751165916
380	0.2750397008
381	0.2749341636
382	0.2748208649
383	0.2747098779
384	0.2745656772
385	0.2744799822
386	0.2743788543
387	0.2743059847
388	0.2742063065
389	0.2741297891
390	0.2740670988
391	0.273976604
392	0.2738766801
393	0.2738024284
394	0.2737104591
395	0.2735858985
396	0.2734830235
397	0.273373087
398	0.2732561246
399	0.2732088205
400	0.2730927812
401	0.2730157758
402	0.2729225939
403	0.2728494305
404	0.2727332802
405	0.2725745337
406	0.2724785377
407	0.2724057551
408	0.2722898204
409	0.2722254515
410	0.2721355776
411	0.2720869966
412	0.2720022568
413	0.2719097574
414	0.2718063565
415	0.2716976255
416	0.2716399126
417	0.2715789848
418	0.2715357188
419	0.2714137729
420	0.2712901979
421	0.2711684105
422	0.2710792627
423	0.2710156831
424	0.2709522865
425	0.2708555289
426	0.2707282891
427	0.2706437919
428	0.2705949268
429	0.2705275039
430	0.27039342
431	0.2703116317
432	0.2702338054
433	0.2701432271
434	0.2700091427
435	0.2699362168
436	0.2698527372
437	0.2697656129
438	0.2696430591
439	0.2695561325
440	0.2694800979
441	0.2694059084
442	0.2692950021
443	0.2692075464
444	0.2691132346
445	0.2690567434
446	0.268979077
447	0.2688923829
448	0.2688057928
449	0.2686667071
450	0.2685675485
451	0.2684272227
452	0.2683025579
453	0.2681744871
454	0.2680943638
455	0.268045531
456	0.2679331976
457	0.2678666634
458	0.2677877081
459	0.267708455
460	0.267622614
461	0.2675452447
462	0.2674977228
463	0.2674102464
464	0.2672799761
465	0.2671922198
466	0.2670841654
467	0.266999976
468	0.2669173021
469	0.2668533029
470	0.2667535106
471	0.2666102244
472	0.2664709038
473	0.2663335062
474	0.2662434686
475	0.2661144564
476	0.2660305837
477	0.2659394408
478	0.2658629638
479	0.2657402088
480	0.265669562
481	0.2655686732
482	0.2654737073
483	0.2653463672
484	0.2652522554
485	0.265173871
486	0.265094493
487	0.2650096058
488	0.2649070339
489	0.2648071218
490	0.2647333324
491	0.264628061
492	0.2645351992
493	0.2644035219
494	0.2642483846
495	0.2641720543
496	0.2640701525
497	0.2640244407
498	0.2639336114
499	0.263800862
500	0.2636897494
501	0.2635891659
502	0.2635306581
503	0.2634703031
504	0.2633697821
505	0.2632687014
506	0.2631776775
507	0.263061169
508	0.2629913531
509	0.2629457395
510	0.2628240046
511	0.2627470118
512	0.2626644829
513	0.2625702983
514	0.2624602957
515	0.262343204
516	0.2622453199
517	0.2621404596
518	0.2620457611
519	0.2619534592
520	0.261867666
521	0.261720702
522	0.2616291294
523	0.2615312588
524	0.2614551179
525	0.2612888356
526	0.2612126448
527	0.2611332006
528	0.2610278714
529	0.2608770877
530	0.2607321558
531	0.2606144885
532	0.2605191467
533	0.2603859709
534	0.2602940041
535	0.2602178838
536	0.2600941369
537	0.2599614895
538	0.2598773342
539	0.2597753511
540	0.2597131746
541	0.2595808237
542	0.2594949193
543	0.2594043658
544	0.2593192363
545	0.2592355459
546	0.2591352067
547	0.2590406164
548	0.2589768392
549	0.2588623511
550	0.258775785
551	0.2586873477
552	0.2585799948
553	0.2584607431
554	0.2583710164
555	0.2582850979
556	0.2581786608
557	0.258081931
558	0.257993122
559	0.2579438335
560	0.2578271376
561	0.2577594104
562	0.2576285906
563	0.2575639743
564	0.257461846
565	0.2573777734
566	0.2572610924
567	0.2571922803
568	0.2571171138
569	0.2570037994
570	0.2569468723
571	0.256841719
572	0.2567365323
573	0.2566429147
574	0.256552015
575	0.2564600043
576	0.256399028
577	0.2563212242
578	0.2562594093
579	0.2560850102
580	0.2560016404
581	0.2559449947
582	0.2557917549
583	0.2557164569
584	0.2555771018
585	0.2554908806
586	0.255380514
587	0.2553066714
588	0.2552428658
589	0.2550882174
590	0.2549384229
591	0.2548357736
592	0.2547394455
593	0.2546520518
594	0.2545745513
595	0.2544675871
596	0.254397969
597	0.2542840824
598	0.2542052262
599	0.2540908951
600	0.2540105357
601	0.253896088
602	0.2538309602
603	0.25373097
604	0.2536074017
605	0.2535600001
606	0.2534542395
607	0.2533798927
608	0.253274578
609	0.2532073198
610	0.253110556
611	0.2530294225
612	0.252920355
613	0.2528650107
614	0.2528002717
615	0.2527203238
616	0.2526299655
617	0.2525204368
618	0.2524631263
619	0.2524014711
620	0.2523001621
621	0.2521966158
622	0.2521065575
623	0.2520214325
624	0.2519532208
625	0.2519012444
626	0.2517465695
627	0.2516458862
628	0.2515728296
629	0.2514769774
630	0.2513841271
631	0.2512843265
632	0.2511916476
633	0.2511502441
634	0.2510578132
635	0.2509190767
636	0.2508291143
637	0.2507423153
638	0.2507127241
639	0.2506476743
640	0.2505258836
641	0.2504152128
642	0.2503101165
643	0.2502236391
644	0.2501425661
645	0.2500724014
646	0.2500140038
647	0.2498889893
648	0.249809917
649	0.2497482578
650	0.2496522448
651	0.2496052274
652	0.2495290815
653	0.2493731518
654	0.2493026604
655	0.2492483773
656	0.2491607784
657	0.2490909929
658	0.2490102954
659	0.2489368867
660	0.2488851158
661	0.2488147978
662	0.2487065623
663	0.2486242879
664	0.2485150324
665	0.248444575
666	0.2483297248
667	0.2482265704
668	0.2481061815
669	0.2480106278
670	0.2479345161
671	0.2477870336
672	0.2477254023
673	0.247638707
674	0.247571587
675	0.2474397678
676	0.2473303999
677	0.2472883794
678	0.2471707117
679	0.2471070196
680	0.2469907864
681	0.2468798651
682	0.2467675784
683	0.2466629162
684	0.2466078419
685	0.246547416
686	0.246441297
687	0.2463696503
688	0.246278372
689	0.2462180888
690	0.2460979128
691	0.2459674033
692	0.2458578352
693	0.245800561
694	0.2457161477
695	0.2456582195
696	0.2455832772
697	0.245514609
698	0.2454677385
699	0.2453996955
700	0.2453113158
701	0.2451685278
702	0.245036796
703	0.2449711091
704	0.2448733416
705	0.2448280237
706	0.2447610148
707	0.2447030407
708	0.2446258172
709	0.2445371873
710	0.2443987166
711	0.2443279821
712	0.2442548622
713	0.2441952602
714	0.2440930515
715	0.243968922
716	0.2438935652
717	0.2437730423
718	0.2436890911
719	0.2436143176
720	0.2435534678
721	0.2434808218
722	0.2434124473
723	0.2433225738
724	0.2432223429
725	0.2430787498
726	0.2430027634
727	0.2429164055
728	0.2428218936
729	0.2427351798
730	0.2426677723
731	0.2426045347
732	0.2425373586
733	0.2424466421
734	0.2423766443
735	0.2422834228
736	0.2422113652
737	0.24212984
738	0.2420607174
739	0.2419270516
740	0.241884984
741	0.2417962667
742	0.2417311009
743	0.2416248435
744	0.241545971
745	0.2414134563
746	0.2413446424
747	0.2412079918
748	0.2411101887
749	0.2410315844
750	0.2409514692
751	0.2408486909
752	0.2407543894
753	0.2406754124
754	0.24061586
755	0.2404890194
756	0.2403930083
757	0.2403421367
758	0.2402861945
759	0.2402123678
760	0.240150296
761	0.2400682842
762	0.2399767133
763	0.2399330175
764	0.2398988896
765	0.2397704711
766	0.2396855864
767	0.2396137231
768	0.2395423068
769	0.2394750234
770	0.2394150389
771	0.2393389211
772	0.2392847348
773	0.2392128207
774	0.2391128425
775	0.2390361387
776	0.2389564914
777	0.2388890896
778	0.2388010743
779	0.2387166577
780	0.2386115023
781	0.2385435992
782	0.2384483795
783	0.2383823895
784	0.2382960692
785	0.2382044879
786	0.2381200207
787	0.2380503982
788	0.2379280053
789	0.2378490831
790	0.2377398362
791	0.2376507131
792	0.2375809431
793	0.2374827783
794	0.2374015433
795	0.2373052423
796	0.2372526419
797	0.2371664762
798	0.2370539819
799	0.2369726961
800	0.2369038231
801	0.2368176784
802	0.2367086612
803	0.2366475927
804	0.236553906
805	0.2364729637
806	0.2363854747
807	0.2362593812
808	0.2361976651
809	0.2360695896
810	0.2359856802
811	0.2358835636
812	0.2358330484
813	0.2357630143
814	0.2356578395
815	0.2355996275
816	0.2355210654
817	0.2354221399
818	0.2353063648
819	0.2352379006
820	0.2351598668
821	0.2350978229
822	0.2350484219
823	0.2349903752
824	0.2349123296
825	0.2348653518
826	0.2348047893
827	0.234727829
828	0.2346469013
829	0.2345911796
830	0.2345240221
831	0.2344721005
832	0.2343623611
833	0.234281937
834	0.234172358
835	0.2340917052
836	0.2339564935
837	0.2338980943
838	0.233842114
839	0.2337674964
840	0.2337111075
841	0.2336636367
842	0.2335946231
843	0.2334996726
844	0.2333831361
845	0.2332932955
846	0.2332364086
847	0.2331186139
848	0.2330314119
849	0.2329670872
850	0.2328929328
851	0.2328079532
852	0.2327535211
853	0.2326105187
854	0.2325317721
855	0.2324603205
856	0.2323719171
857	0.2322774995
858	0.2322422035
859	0.2321291928
860	0.2320296432
861	0.2319474006
862	0.231873136
863	0.2317828407
864	0.2317026263
865	0.2316449645
866	0.2315764582
867	0.2315261912
868	0.2314300196
869	0.2313339185
870	0.2312414445
871	0.2311766562
872	0.2311230679
873	0.2310562157
874	0.2309921267
875	0.2309395113
876	0.2308986391
877	0.2308271033
878	0.2307444905
879	0.230656842
880	0.2305467691
881	0.2304674742
882	0.2304223171
883	0.2303394996
884	0.2302648968
885	0.2301495225
886	0.2300951549
887	0.2300108491
888	0.2299598819
889	0.2298974091
890	0.2298320096
891	0.2297407817
892	0.2296779159
893	0.2295932803
894	0.2295286023
895	0.2294386728
896	0.2294013163
897	0.2293369544
898	0.2292822855
899	0.2292317148
900	0.2291717862
901	0.2291023657
902	0.2290243848
903	0.2289665596
904	0.2288790135
905	0.2288253213
906	0.2287762513
907	0.2286634154
908	0.2286156288
909	0.2285625459
910	0.2284619362
911	0.2283720721
912	0.2283153699
913	0.2282399659
914	0.2281601202
915	0.2280634551
916	0.2280076831
917	0.2279192782
918	0.227820639
919	0.2277672771
920	0.2277224894
921	0.2276376004
922	0.227592615
923	0.2275122926
924	0.2274292477
925	0.2273970913
926	0.2273552062
927	0.2272968439
928	0.2272137335
929	0.2271287088
930	0.2270437829
931	0.2269667891
932	0.2268957937
933	0.2267664743
934	0.2267118525
935	0.226659121
936	0.2265707549
937	0.2265117674
938	0.2264437747
939	0.2264013286
940	0.2262985715
941	0.2262175451
942	0.2261375803
943	0.2260747452
944	0.226019998
945	0.2259826215
946	0.2259044465
947	0.2258467967
948	0.2257841908
949	0.2256604882
950	0.2256299259
951	0.2255857014
952	0.2255070967
953	0.2254599364
954	0.225407701
955	0.22535188
956	0.2251787543
957	0.2250612034
958	0.2250071064
959	0.2249569754
960	0.2249117741
961	0.2248795454
962	0.224772619
963	0.22471271
964	0.2246703939
965	0.2246196669
966	0.2245738595
967	0.2244555033
968	0.22437293
969	0.224326279
970	0.2242222482
971	0.2241231048
972	0.2240691425
973	0.2240153983
974	0.2239603485
975	0.2239015771
976	0.2237934484
977	0.2237197441
978	0.2236201941
979	0.223556372
980	0.2234036485
981	0.223364768
982	0.2233212466
983	0.2231563797
984	0.2230915158
985	0.2229998548
986	0.22295781
987	0.2229011008
988	0.2228253109
989	0.2227757373
990	0.2226994897
991	0.2226618255
992	0.2226003143
993	0.2225598472
994	0.2224659238
995	0.2224257064
996	0.2223809717
997	0.2222237897
998	0.2221605557
999	0.2220895785
