iter	Passed	Remaining
402	11587	17166
403	11618	17139
404	11646	17110
405	11673	17079
406	11701	17049
407	11732	17024
408	11759	16991
409	11788	16963
410	11813	16929
411	11845	16905
412	11872	16874
413	11901	16846
414	11931	16819
415	11955	16784
416	11985	16756
417	12011	16724
418	12041	16696
419	12071	16669
420	12096	16636
421	12124	16606
422	12158	16585
423	12187	16556
424	12214	16524
425	12241	16494
426	12272	16468
427	12300	16438
428	12329	16410
429	12355	16378
430	12385	16351
431	12412	16320
432	12438	16287
433	12468	16260
434	12495	16230
435	12523	16199
436	12550	16168
437	12578	16139
438	12608	16112
439	12635	16081
440	12663	16051
441	12689	16019
442	12719	15992
443	12746	15961
444	12773	15931
445	12804	15904
446	12831	15874
447	12856	15841
448	12883	15810
449	12912	15782
450	12941	15753
451	12968	15723
452	12994	15691
453	13025	15664
454	13050	15632
455	13078	15602
456	13107	15573
457	13140	15550
458	13167	15519
459	13194	15488
460	13224	15461
461	13250	15430
462	13277	15400
463	13304	15369
464	13332	15339
465	13363	15313
466	13390	15283
467	13417	15252
468	13442	15219
469	13472	15192
470	13498	15160
471	13524	15129
472	13550	15097
473	13579	15069
474	13607	15039
475	13635	15010
476	13662	14979
477	13691	14951
478	13720	14923
479	13746	14891
480	13774	14862
481	13806	14837
482	13831	14805
483	13857	14774
484	13886	14745
485	13915	14717
486	13943	14687
487	13971	14658
488	13999	14629
489	14029	14602
490	14056	14571
491	14081	14539
492	14114	14515
493	14142	14485
494	14169	14455
495	14197	14426
496	14224	14396
497	14251	14366
498	14280	14338
499	14307	14307
500	14338	14281
501	14364	14250
502	14391	14219
503	14420	14191
504	14450	14164
505	14478	14135
506	14501	14101
507	14531	14073
508	14563	14048
509	14591	14018
510	14618	13989
511	14644	13958
512	14676	13932
513	14702	13901
514	14729	13871
515	14755	13840
516	14783	13811
517	14811	13781
518	14840	13754
519	14870	13726
520	14898	13697
521	14928	13669
522	14953	13638
523	14981	13608
524	15008	13579
525	15034	13548
526	15063	13519
527	15092	13491
528	15128	13469
529	15155	13439
530	15183	13410
531	15212	13382
532	15241	13354
533	15269	13324
534	15294	13293
535	15325	13266
536	15349	13234
537	15377	13205
538	15405	13176
539	15437	13150
540	15463	13119
541	15489	13089
542	15519	13061
543	15549	13033
544	15578	13005
545	15606	12976
546	15632	12946
547	15662	12919
548	15690	12889
549	15718	12860
550	15744	12829
551	15774	12802
552	15801	12772
553	15828	12742
554	15858	12715
555	15886	12686
556	15916	12658
557	15941	12627
558	15972	12600
559	16001	12572
560	16032	12545
561	16067	12522
562	16108	12503
563	16140	12477
564	16178	12456
565	16207	12427
566	16236	12399
567	16264	12370
568	16289	12338
569	16318	12310
570	16347	12281
571	16374	12252
572	16402	12223
573	16435	12197
574	16463	12168
575	16489	12138
576	16517	12109
577	16552	12084
578	16580	12055
579	16607	12026
580	16635	11996
581	16665	11969
582	16692	11939
583	16719	11909
584	16746	11879
585	16773	11850
586	16799	11819
587	16827	11790
588	16859	11764
589	16883	11732
590	16911	11703
591	16937	11673
592	16967	11645
593	16994	11616
594	17024	11588
595	17051	11558
596	17081	11531
597	17115	11505
598	17143	11476
599	17167	11444
600	17196	11416
601	17226	11389
602	17254	11359
603	17279	11328
604	17308	11300
605	17333	11269
606	17362	11241
607	17389	11211
608	17420	11184
609	17446	11154
610	17473	11124
611	17500	11095
612	17526	11064
613	17557	11037
614	17582	11007
615	17610	10977
616	17642	10951
617	17667	10920
618	17694	10891
619	17721	10861
620	17750	10833
621	17774	10801
622	17803	10773
623	17830	10743
624	17861	10716
625	17891	10688
626	17918	10659
627	17945	10630
628	17975	10602
629	18003	10573
630	18028	10543
631	18056	10513
632	18089	10488
633	18118	10459
634	18144	10429
635	18171	10399
636	18201	10372
637	18228	10343
638	18253	10312
639	18280	10282
640	18310	10255
641	18337	10225
642	18364	10196
643	18390	10166
644	18422	10139
645	18451	10111
646	18480	10082
647	18505	10052
648	18536	10025
649	18563	9995
650	18591	9966
651	18622	9939
652	18651	9911
653	18679	9882
654	18705	9852
655	18735	9824
656	18762	9795
657	18792	9767
658	18817	9737
659	18846	9708
660	18875	9680
661	18901	9650
662	18929	9621
663	18959	9594
664	18989	9566
665	19014	9535
666	19043	9507
667	19075	9480
668	19104	9452
669	19131	9423
670	19158	9393
671	19190	9366
672	19216	9337
673	19245	9308
674	19287	9286
675	19314	9257
676	19341	9228
677	19368	9198
678	19399	9171
679	19428	9142
680	19456	9113
681	19483	9084
682	19511	9055
683	19541	9027
684	19568	8998
685	19594	8969
686	19626	8941
687	19652	8912
688	19680	8883
689	19710	8855
690	19740	8827
691	19766	8797
692	19794	8768
693	19823	8740
694	19853	8712
695	19886	8686
696	19914	8657
697	19948	8631
698	19981	8604
699	20010	8576
700	20060	8556
701	20107	8535
702	20151	8513
703	20190	8489
704	20219	8460
705	20247	8431
706	20283	8406
707	20309	8376
708	20337	8347
709	20365	8318
710	20393	8289
711	20421	8260
712	20448	8231
713	20479	8203
714	20506	8174
715	20533	8144
716	20560	8115
717	20590	8087
718	20617	8057
719	20645	8028
720	20671	7998
721	20702	7971
722	20731	7942
723	20758	7913
724	20784	7883
725	20815	7856
726	20844	7827
727	20872	7798
728	20903	7770
729	20932	7742
730	20960	7713
731	20986	7683
732	21018	7656
733	21045	7626
734	21078	7599
735	21103	7569
736	21134	7542
737	21162	7512
738	21188	7483
739	21215	7454
740	21249	7427
741	21277	7398
742	21302	7368
743	21329	7339
744	21361	7311
745	21388	7282
746	21415	7253
747	21443	7224
748	21472	7195
749	21499	7166
750	21528	7137
751	21556	7108
752	21584	7080
753	21610	7050
754	21638	7021
755	21669	6993
756	21694	6963
757	21721	6934
758	21748	6905
759	21779	6877
760	21807	6848
761	21834	6819
762	21861	6790
763	21892	6762
764	21919	6733
765	21945	6704
766	21974	6675
767	22007	6648
768	22036	6619
769	22070	6592
770	22104	6565
771	22132	6536
772	22158	6507
773	22186	6478
774	22216	6449
775	22241	6420
776	22268	6391
777	22293	6361
778	22324	6333
779	22352	6304
780	22379	6275
781	22412	6247
782	22436	6218
783	22464	6189
784	22490	6159
785	22520	6131
786	22549	6102
787	22575	6073
788	22602	6044
789	22629	6015
790	22660	5987
791	22686	5958
792	22714	5929
793	22741	5900
794	22770	5871
795	22797	5842
796	22823	5813
797	22851	5784
798	22879	5755
799	22907	5726
800	22933	5697
801	22963	5669
802	22994	5641
803	23020	5611
804	23048	5583
805	23079	5555
806	23109	5526
807	23136	5497
808	23164	5468
809	23196	5441
810	23221	5411
811	23248	5382
812	23275	5353
813	23306	5325
814	23332	5296
815	23359	5267
816	23385	5238
817	23418	5210
818	23445	5181
819	23472	5152
820	23502	5124
821	23528	5094
822	23556	5066
823	23582	5036
824	23611	5008
825	23639	4979
826	23666	4950
827	23692	4921
828	23718	4892
829	23751	4864
830	23776	4835
831	23806	4807
832	23830	4777
833	23861	4749
834	23890	4720
835	23917	4692
836	23948	4663
837	23972	4634
838	24001	4605
839	24028	4576
840	24066	4549
841	24092	4520
842	24120	4492
843	24148	4463
844	24175	4434
845	24204	4405
846	24230	4376
847	24255	4347
848	24287	4319
849	24314	4290
850	24340	4261
851	24366	4232
852	24398	4204
853	24424	4175
854	24453	4147
855	24480	4118
856	24508	4089
857	24536	4060
858	24562	4031
859	24592	4003
860	24617	3974
861	24682	3951
862	24738	3927
863	24804	3904
864	24861	3880
865	24903	3853
866	24948	3827
867	24992	3800
868	25022	3772
869	25066	3745
870	25104	3718
871	25140	3690
872	25176	3662
873	25205	3633
874	25235	3605
875	25264	3576
876	25295	3547
877	25323	3518
878	25355	3490
879	25385	3461
880	25414	3432
881	25446	3404
882	25475	3375
883	25503	3346
884	25537	3318
885	25567	3289
886	25593	3260
887	25626	3232
888	25664	3204
889	25691	3175
890	25720	3146
891	25756	3118
892	25785	3089
893	25816	3060
894	25852	3032
895	25885	3004
896	25913	2975
897	25941	2946
898	25969	2917
899	26002	2889
900	26036	2860
901	26065	2831
902	26097	2803
903	26129	2774
904	26156	2745
905	26182	2716
906	26216	2688
907	26244	2659
908	26273	2630
909	26305	2601
910	26330	2572
911	26359	2543
912	26390	2514
913	26421	2486
914	26450	2457
915	26478	2428
916	26510	2399
917	26539	2370
918	26566	2341
919	26593	2312
920	26624	2283
921	26656	2255
922	26685	2226
923	26713	2197
924	26742	2168
925	26770	2139
926	26800	2110
927	26828	2081
928	26859	2052
929	26888	2023
930	26915	1994
931	26949	1966
932	26976	1937
933	27009	1908
934	27040	1879
935	27068	1850
936	27098	1822
937	27126	1793
938	27157	1764
939	27184	1735
940	27213	1706
941	27243	1677
942	27275	1648
943	27304	1619
944	27334	1590
945	27364	1562
946	27395	1533
947	27422	1504
948	27450	1475
949	27477	1446
950	27508	1417
951	27534	1388
952	27561	1359
953	27592	1330
954	27623	1301
955	27651	1272
956	27682	1243
957	27715	1215
958	27745	1186
959	27773	1157
960	27799	1128
961	27831	1099
962	27858	1070
963	27887	1041
964	27913	1012
965	27946	983
966	27975	954
967	28007	925
968	28040	897
969	28069	868
970	28097	839
971	28128	810
972	28156	781
973	28184	752
974	28211	723
975	28246	694
976	28277	665
977	28309	636
978	28338	607
979	28372	579
980	28402	550
981	28432	521
982	28463	492
983	28492	463
984	28520	434
985	28547	405
986	28581	376
987	28608	347
988	28637	318
989	28666	289
990	28698	260
991	28725	231
992	28755	202
993	28785	173
994	28815	144
995	28845	115
996	28872	86
997	28907	57
998	28936	28
999	28968	0
